number,stop ID,arrival time,departure time,pick up users,drop of users
1,22,07:00:00,07:51:04,[],[]
2,14,07:57:59,08:00:00,['61'],[]
3,16,08:05:18,08:07:18,[],['61']
4,11,08:18:12,08:20:12,['0'],[]
5,9,08:24:15,08:26:16,[],['0']
6,8,08:27:33,08:29:33,['17'],[]
7,9,08:30:50,08:32:50,['52'],['17']
8,10,08:34:07,08:43:17,[],['52']
9,7,08:47:55,08:50:00,['41'],[]
10,9,08:54:03,09:00:00,['39'],[]
11,6,09:11:29,09:13:29,"['40', '79']","['39', '41']"
12,11,09:26:12,09:28:13,[],['79']
13,10,09:32:04,09:34:05,['68'],['40']
14,16,09:42:42,09:44:42,['20'],[]
15,6,09:46:31,09:48:31,[],"['20', '68']"
16,14,09:55:26,09:57:27,"['66', '6']",[]
17,15,10:00:01,10:02:01,[],['6']
18,16,10:04:53,10:15:06,['32'],[]
19,6,10:16:55,10:39:34,"['49', '64']","['66', '32']"
20,9,10:51:03,10:53:04,[],['64']
21,8,10:54:21,10:56:21,['72'],['49']
22,9,10:57:38,10:59:38,[],['72']
23,6,11:11:07,11:17:44,"['89', '70']",[]
24,16,11:19:33,11:25:00,['69'],[]
25,12,11:33:37,11:36:54,['63'],['69']
26,11,11:40:45,11:42:45,[],['89']
27,9,11:46:48,11:48:49,[],['63']
28,8,11:50:06,11:52:52,[],['70']
29,0,12:06:17,12:15:00,['14'],[]
30,7,12:24:47,12:26:47,[],['14']
31,0,12:36:34,12:41:46,['26'],[]
32,14,13:00:52,14:04:59,['29'],['26']
33,6,14:11:54,14:13:55,['58'],['29']
34,15,14:18:33,14:30:00,"['87', '31']",['58']
35,6,14:34:38,14:48:44,"['35', '77', '46']","['87', '31']"
36,16,14:50:33,14:52:33,[],['77']
37,11,15:03:27,15:07:16,[],['46']
38,8,15:11:54,15:46:42,['7'],['35']
39,9,15:47:59,15:50:00,['54'],[]
40,10,15:51:17,15:54:08,['18'],[]
41,11,15:57:59,16:00:00,['84'],[]
42,13,16:06:25,16:08:25,[],"['54', '18']"
43,6,16:17:46,16:19:47,[],"['84', '7']"
44,15,16:24:25,16:55:00,"['38', '21']",[]
45,10,17:01:33,17:06:26,[],"['38', '21']"
46,15,17:12:59,17:15:00,['13'],[]
47,6,17:19:38,17:37:40,[],['13']
48,22,17:37:40,19:00:00,[],[]
