user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[10, 16]","[18, 6, 8]",15.8,23.309,19.52,2
1,[10],"[4, 17]",2.0,6.556,8.53,1
2,[16],"[14, 6]",4.0,7.119,8.9,1
3,[10],"[17, 2]",4.0,15.072,16.37,1
4,"[16, 10]","[15, 0, 2]",6.0,24.607,20.82,2
5,"[16, 10]","[16, 6, 5]",4.0,4.39,8.37,2
6,[0],"[3, 18]",4.0,10.589,12.35,1
7,[0],"[19, 1]",2.0,15.535,17.52,1
8,"[0, 6]","[19, 6, 9]",4.0,14.375,18.37,2
9,[0],"[19, 18]",2.0,1.818,3.82,1
10,[6],"[12, 9]",2.0,6.429,8.4,1
11,"[10, 16]","[18, 6, 12]",11.4,15.812,17.23,2
12,"[10, 6]","[5, 6, 8]",23.4,15.234,19.23,2
13,[0],"[2, 20]",2.0,16.764,18.75,1
14,"[0, 16]","[20, 6, 7]",21.6,19.746,21.37,2
15,[0],"[19, 1]",2.0,15.535,17.52,1
16,"[6, 0]","[16, 6, 19]",6.9,6.511,8.67,2
17,[6],"[9, 0]",2.0,13.848,15.83,1
18,"[6, 0]","[12, 6, 2]",4.0,22.563,26.53,2
19,[10],"[17, 4]",2.0,6.556,8.53,1
