number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:53:21,[],[]
2,1,07:57:59,08:00:00,['65'],[]
3,0,08:04:38,08:06:38,[],['65']
4,19,08:26:15,08:39:59,['32'],[]
5,18,08:41:48,08:58:43,"['46', '37']",[]
6,6,09:01:35,09:03:36,[],"['32', '37']"
7,18,09:06:28,09:08:28,['11'],[]
8,6,09:11:20,09:13:20,[],['11']
9,5,09:15:54,09:17:55,['17'],[]
10,4,09:19:12,09:21:22,[],['46']
11,3,09:25:13,09:32:38,[],['17']
12,18,09:42:59,09:45:00,"['40', '6']",[]
13,17,09:47:34,09:49:34,['27'],[]
14,6,09:52:26,09:54:26,['34'],"['27', '40']"
15,3,10:02:08,10:13:14,[],['34']
16,2,10:18:41,10:35:00,['12'],['6']
17,3,10:40:27,10:54:45,['67'],[]
18,5,10:59:53,11:01:53,['63'],['12']
19,6,11:04:27,11:10:15,['0'],"['63', '67']"
20,19,11:13:07,11:15:07,['21'],['0']
21,6,11:17:59,11:22:22,"['71', '1', '45', '69']",[]
22,4,11:26:13,11:28:13,[],['1']
23,3,11:32:04,11:34:05,[],"['21', '69']"
24,1,11:40:30,11:50:00,['75'],"['71', '45']"
25,2,11:51:17,12:00:27,['7'],[]
26,4,12:09:04,12:11:05,[],['75']
27,5,12:12:22,12:27:30,['62'],[]
28,6,12:30:04,12:43:55,"['70', '74', '33', '39']","['62', '7']"
29,4,12:47:46,12:49:46,[],['33']
30,1,12:59:33,13:01:34,[],"['70', '39', '74']"
31,21,13:06:12,19:00:00,[],[]
