number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:22:32,[],[]
2,2,08:27:59,08:30:00,['40'],[]
3,6,08:42:11,08:58:59,"['39', '29']",['40']
4,4,09:02:50,09:04:50,[],['39']
5,3,09:08:41,09:11:34,[],['29']
6,1,09:17:59,09:20:00,['0'],[]
7,3,09:26:25,09:35:29,"['2', '42']",['0']
8,6,09:43:11,09:45:12,['47'],"['2', '42']"
9,20,09:50:56,10:10:00,['23'],['47']
10,19,10:12:52,10:15:00,['19'],[]
11,17,10:19:03,10:21:13,['10'],['23']
12,6,10:24:05,10:26:05,[],['10']
13,3,10:33:47,10:42:21,[],['19']
14,5,10:47:29,10:49:55,['11'],[]
15,4,10:51:12,10:53:12,[],['11']
16,1,11:02:59,11:05:00,['17'],[]
17,3,11:11:25,11:13:25,[],['17']
18,6,11:21:07,11:23:08,"['28', '37']",[]
19,4,11:26:59,11:29:00,[],['37']
20,3,11:32:51,11:34:51,[],['28']
21,21,11:45:45,19:00:00,[],[]
