number,stop ID,arrival time,departure time,pick up users,drop of users
1,33,07:00:00,08:28:00,[],[]
2,6,08:28:00,08:30:00,['12'],[]
3,31,08:41:51,08:43:51,[],['12']
4,28,08:46:25,08:48:25,['20'],[]
5,31,08:50:59,09:00:00,['35'],[]
6,29,09:06:25,09:09:24,[],['20']
7,6,09:15:08,09:48:07,['10'],['35']
8,29,09:53:51,09:55:52,[],['10']
9,28,10:04:52,10:14:21,"['23', '11']",[]
10,31,10:16:55,10:18:56,[],['23']
11,30,10:22:59,10:25:00,['43'],[]
12,6,10:32:49,11:31:21,['33'],"['43', '11']"
13,28,11:45:43,13:13:50,"['2', '34']",['33']
14,6,13:28:12,14:28:49,['40'],"['2', '34']"
15,28,14:43:11,14:53:51,['16'],['40']
16,31,14:56:25,15:05:00,['4'],[]
17,6,15:16:51,15:18:51,[],"['16', '4']"
18,33,15:18:51,19:00:00,[],[]
