number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:07:52,[],[]
2,18,08:27:59,08:30:00,['1'],[]
3,6,08:32:52,09:25:15,"['12', '46', '13']",['1']
4,4,09:29:06,09:31:07,[],['13']
5,2,09:39:44,09:48:06,[],['46']
6,1,09:49:23,10:45:00,['33'],['12']
7,0,10:49:38,10:55:00,"['44', '22']",['33']
8,2,11:00:27,11:02:27,[],['22']
9,5,11:12:14,11:14:14,['56'],[]
10,6,11:16:48,11:18:49,[],['56']
11,20,11:24:33,11:31:18,[],['44']
12,19,11:34:10,11:36:10,['10'],[]
13,18,11:37:59,11:40:00,['50'],[]
14,17,11:42:34,11:44:34,[],['10']
15,6,11:47:26,11:49:26,['5'],['50']
16,20,11:55:10,12:00:37,[],['5']
17,6,12:06:21,12:08:22,['52'],[]
18,4,12:12:13,12:14:13,[],['52']
19,5,12:15:30,12:17:53,['54'],[]
20,6,12:20:27,12:22:27,"['35', '20']",['54']
21,5,12:25:01,12:27:01,[],['20']
22,3,12:32:09,12:34:10,[],['35']
23,2,12:39:37,12:45:00,['7'],[]
24,6,12:57:11,13:11:24,"['11', '19']",['7']
25,4,13:15:15,13:17:15,[],['11']
26,0,13:31:09,14:00:33,['0'],['19']
27,1,14:05:11,14:17:45,[],['0']
28,32,14:22:23,19:00:00,[],[]
