number,stop ID,arrival time,departure time,pick up users,drop of users
1,32,07:00:00,08:21:34,[],[]
2,22,08:27:59,08:30:00,['50'],[]
3,23,08:31:17,08:35:00,['18'],[]
4,24,08:37:34,08:39:34,['28'],[]
5,28,08:48:55,09:15:00,['21'],"['18', '28', '50']"
6,27,09:18:38,09:32:56,[],['21']
7,25,09:36:47,09:55:45,"['25', '13']",[]
8,27,09:59:36,10:01:36,[],['25']
9,26,10:02:53,10:10:00,"['41', '12']",[]
10,28,10:14:38,10:16:38,[],"['12', '41', '13']"
11,24,10:25:59,10:50:00,['6'],[]
12,21,10:56:25,11:00:00,['14'],[]
13,0,11:04:38,11:06:38,[],"['6', '14']"
14,32,11:06:37,19:00:00,[],[]
