user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[19, 28]","[10, 0, 1]",6.0,25.75,16.71,2
1,"[18, 29]","[2, 3, 13]",18.8,20.709,20.13,2
2,"[28, 19]","[5, 3, 8]",7.9,10.069,10.07,2
3,"[18, 29]","[4, 3, 9]",18.9,11.077,11.08,2
4,"[19, 28]","[9, 3, 5]",4.0,13.53,13.53,2
5,[29],"[11, 9]",2.0,3.462,3.46,1
6,"[19, 28]","[7, 0, 1]",4.0,9.692,9.69,2
7,"[19, 18]","[9, 3, 6]",4.0,13.324,13.32,2
8,[29],"[12, 3]",2.0,16.673,16.67,1
9,[28],"[1, 6]",12.1,13.53,9.98,1
10,[18],"[1, 0]",2.0,6.231,6.23,1
11,[19],"[10, 11]",2.0,1.958,1.96,1
12,[19],"[0, 10]",15.5,19.426,16.86,1
13,[19],"[3, 9]",2.0,7.615,7.62,1
14,[19],"[0, 13]",2.0,24.31,24.31,1
15,[19],"[11, 7]",10.5,18.205,17.65,1
16,[19],"[3, 8]",2.0,4.154,4.15,1
17,[29],"[13, 11]",4.2,8.478,5.71,1
18,"[18, 19]","[6, 3, 9]",12.6,13.324,13.32,2
19,[19],"[11, 13]",2.0,5.709,5.71,1
20,[18],"[1, 5]",2.0,10.568,10.57,1
21,[18],"[2, 5]",4.0,9.377,7.83,1
22,[29],"[0, 7]",2.0,3.462,3.46,1
23,"[29, 28]","[10, 3, 5]",13.3,22.701,15.71,2
24,"[18, 19]","[2, 3, 12]",7.3,20.154,20.13,2
25,[19],"[3, 0]",2.0,9.314,9.31,1
26,[29],"[9, 3]",2.0,7.615,7.62,1
27,"[19, 28]","[8, 3, 4]",17.4,7.615,7.62,2
28,[28],"[2, 6]",2.0,7.359,7.36,1
29,"[28, 19]","[5, 3, 9]",8.3,16.786,13.53,2
30,[28],"[5, 0]",8.3,18.485,14.82,1
31,"[28, 19]","[4, 3, 0]",8.5,12.776,12.11,1
32,"[28, 29]","[6, 3, 9]",4.0,13.324,13.32,2
33,"[28, 19]","[4, 3, 10]",17.6,13.252,13.25,2
34,[29],"[13, 12]",2.0,2.769,2.77,1
35,[29],"[11, 8]",13.2,7.667,6.92,1
36,[29],"[7, 12]",2.0,22.94,22.94,1
37,[28],"[4, 0]",4.0,12.776,12.11,1
38,"[18, 29]","[2, 3, 10]",16.8,13.252,13.25,2
39,[29],"[13, 0]",10.3,25.113,24.31,1
40,[29],"[11, 8]",4.0,6.923,6.92,1
41,[19],"[10, 8]",2.0,5.709,5.71,1
42,[28],"[2, 3]",2.0,3.462,3.46,1
43,[29],"[9, 13]",4.0,9.953,9.11,1
44,"[28, 29]","[1, 3, 8]",18.9,11.077,11.08,2
45,"[29, 28]","[8, 0, 1]",4.0,18.712,11.08,2
46,[19],"[8, 10]",2.0,5.709,5.71,1
47,"[18, 29]","[4, 3, 10]",13.2,13.573,13.25,2
48,"[18, 29]","[5, 3, 8]",11.2,13.324,10.07,2
49,[18],"[1, 6]",4.0,11.26,9.98,1
50,[19],"[7, 11]",6.0,18.877,17.65,1
51,[28],"[1, 6]",12.1,13.53,9.98,1
52,[29],"[3, 7]",2.0,7.128,7.13,1
53,[29],"[12, 11]",2.0,5.709,5.71,1
54,"[29, 18]","[12, 3, 4]",4.0,20.135,20.13,2
55,[18],"[0, 6]",6.0,17.491,14.41,1
56,"[29, 18]","[12, 3, 6]",6.0,26.05,22.38,2
57,[28],"[3, 5]",2.0,5.915,5.92,1
58,"[28, 19]","[6, 3, 11]",6.0,16.786,16.79,2
59,[19],"[10, 7]",2.0,16.058,16.06,1
