user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[19],"[0, 7]",2.0,3.462,3.46,1
1,"[29, 18]","[7, 3, 4]",9.8,10.589,10.59,2
2,-,-,-,-,22.38,2
3,"[18, 29]","[5, 3, 13]",20.9,23.694,22.59,2
4,"[29, 18]","[8, 3, 2]",4.0,7.615,7.62,2
5,"[29, 28]","[7, 0, 2]",11.0,10.589,10.59,2
6,-,-,-,-,20.13,2
7,[18],"[3, 4]",2.0,3.462,3.46,1
8,"[18, 29]","[4, 3, 9]",9.0,11.077,11.08,2
9,[28],"[2, 4]",4.0,6.923,6.92,1
10,[19],"[0, 12]",8.0,27.04,23.51,1
11,[19],"[7, 3]",2.0,7.128,7.13,1
12,"[29, 28]","[12, 3, 4]",15.5,20.919,20.13,2
13,"[18, 29]","[1, 3, 11]",6.0,18.0,18.0,2
14,-,-,-,-,15.5,2
15,[29],"[10, 7]",8.0,16.991,16.06,1
16,"[19, 28]","[12, 3, 2]",6.0,20.175,20.13,2
17,[28],"[1, 2]",2.0,3.462,3.46,1
18,"[28, 29]","[6, 3, 11]",9.3,17.779,16.79,2
19,[19],"[13, 12]",2.0,2.769,2.77,1
20,-,-,-,-,2.77,1
21,[29],"[10, 7]",11.5,16.918,16.06,1
22,-,-,-,-,10.07,2
23,-,-,-,-,16.71,2
24,[18],"[1, 0]",2.0,6.231,6.23,1
25,[19],"[0, 3]",2.0,9.314,9.31,1
26,"[19, 28]","[8, 3, 4]",4.0,7.615,7.62,2
27,[28],"[2, 6]",2.0,7.359,7.36,1
28,"[29, 18]","[7, 3, 5]",12.9,16.298,13.04,2
29,"[19, 18]","[9, 3, 5]",16.4,16.786,13.53,2
30,-,-,-,-,13.32,2
31,[28],"[5, 3]",2.0,5.915,5.92,1
32,[18],"[3, 0]",2.0,9.314,9.31,1
33,[28],"[0, 2]",2.0,7.128,7.13,1
34,[29],"[9, 3]",2.0,7.615,7.62,1
35,"[28, 29]","[1, 3, 8]",14.0,11.077,11.08,2
36,[29],"[0, 11]",15.6,21.666,18.64,1
37,-,-,-,-,20.13,2
38,"[28, 29]","[6, 3, 10]",7.3,15.82,15.5,2
39,-,-,-,-,11.08,2
40,[19],"[11, 12]",2.0,5.709,5.71,1
41,"[18, 19]","[4, 3, 9]",4.0,11.077,11.08,2
42,[28],"[3, 6]",4.0,9.377,5.71,1
43,[18],"[2, 6]",8.0,13.324,7.36,1
44,"[18, 19]","[2, 3, 8]",4.0,7.615,7.62,2
45,"[18, 19]","[5, 3, 9]",6.2,13.53,13.53,2
46,[19],"[8, 3]",2.0,4.154,4.15,1
47,"[18, 29]","[6, 3, 7]",12.6,16.504,12.84,2
48,-,-,-,-,22.94,1
49,[19],"[9, 3]",2.0,7.615,7.62,1
50,[29],"[7, 9]",8.6,14.743,14.27,1
51,[19],"[13, 10]",6.4,9.692,7.46,1
52,-,-,-,-,9.11,1
53,[18],"[5, 1]",13.6,12.838,10.57,1
54,-,-,-,-,16.99,2
55,[19],"[0, 11]",14.9,21.666,18.64,1
56,[18],"[2, 0]",4.0,9.692,7.13,1
57,"[28, 19]","[4, 3, 8]",17.4,7.615,7.62,2
58,"[29, 18]","[11, 3, 2]",16.0,14.538,14.54,2
59,[19],"[0, 9]",10.5,18.205,15.48,1
60,-,-,-,-,22.94,1
61,[18],"[3, 5]",4.0,9.17,5.92,1
62,"[18, 19]","[1, 0, 8]",6.0,20.639,11.08,2
63,"[19, 18]","[10, 3, 4]",17.7,13.573,13.25,2
64,[19],"[12, 10]",2.0,6.923,6.92,1
65,"[29, 28]","[10, 3, 4]",6.2,13.573,13.25,2
66,-,-,-,-,22.59,2
67,[18],"[0, 1]",2.0,6.231,6.23,1
68,"[18, 29]","[1, 3, 9]",20.0,14.538,14.54,2
69,[28],"[4, 1]",2.0,10.385,10.38,1
70,"[28, 19]","[5, 3, 0]",4.0,15.229,14.82,1
71,[29],"[3, 9]",2.0,7.615,7.62,1
72,[29],"[13, 11]",7.5,8.478,5.71,1
73,[18],"[3, 1]",2.0,6.923,6.92,1
74,"[19, 28]","[9, 3, 6]",11.0,17.478,13.32,2
75,-,-,-,-,20.13,2
76,"[29, 28]","[12, 3, 6]",17.5,26.834,22.38,2
77,[29],"[13, 12]",2.0,2.769,2.77,1
78,[28],"[4, 6]",2.0,5.915,5.92,1
79,"[18, 29]","[4, 3, 11]",11.0,14.538,14.54,2
80,"[19, 28]","[9, 3, 5]",8.0,16.786,13.53,2
81,[19],"[7, 10]",10.4,17.239,16.06,1
82,[28],"[2, 0]",2.0,7.128,7.13,1
83,"[28, 19]","[1, 3, 9]",4.0,14.538,14.54,2
84,[28],"[2, 6]",6.0,12.838,7.36,1
85,[19],"[9, 7]",4.0,14.743,14.27,1
86,"[28, 29]","[2, 3, 8]",4.0,7.615,7.62,2
87,[28],"[6, 2]",2.0,7.359,7.36,1
88,"[29, 18]","[7, 3, 5]",11.9,16.298,13.04,2
89,-,-,-,-,23.51,1
