number,stop ID,arrival time,departure time,pick up users,drop of users
1,14,07:00:00,07:53:35,[],[]
2,6,08:07:59,08:10:00,['23'],[]
3,1,08:19:59,08:21:59,[],['23']
4,0,08:28:12,08:30:12,['20'],[]
5,5,08:45:00,08:47:01,[],['20']
6,0,09:01:49,09:05:00,['11'],[]
7,4,09:17:06,09:19:06,[],['11']
8,6,09:25:00,09:35:00,['9'],[]
9,3,09:40:42,09:42:42,[],['9']
10,1,09:49:37,09:51:37,['19'],[]
11,3,09:58:32,10:11:09,"['12', '29']",['19']
12,1,10:18:04,10:25:53,[],['12']
13,0,10:32:06,10:34:07,[],['29']
14,14,10:34:07,19:00:00,[],[]
