user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[29],"[11, 13]",2.0,5.709,5.71,1
1,[29],"[8, 10]",2.0,5.709,5.71,1
2,[19],"[13, 12]",2.0,2.769,2.77,1
3,[28],"[2, 5]",2.0,7.833,7.83,1
4,[29],"[7, 0]",2.0,3.462,3.46,1
5,[28],"[5, 6]",2.0,0.692,0.69,1
6,"[19, 28]","[13, 3, 1]",18.1,23.596,23.6,2
7,[28],"[2, 3]",2.0,3.462,3.46,1
8,-,-,-,-,10.59,2
9,"[18, 29]","[6, 3, 11]",6.0,17.458,16.79,2
10,[19],"[13, 10]",2.0,7.456,7.46,1
11,[18],"[0, 4]",2.0,12.11,12.11,1
12,"[19, 18]","[12, 3, 1]",6.0,23.615,23.6,2
13,"[28, 19]","[1, 3, 12]",17.0,23.644,23.6,2
14,"[28, 29]","[1, 3, 10]",11.0,16.714,16.71,2
15,"[29, 28]","[13, 3, 5]",6.1,22.588,22.59,2
16,"[19, 28]","[13, 3, 2]",15.3,22.904,20.13,2
17,[29],"[0, 7]",2.0,3.462,3.46,1
18,[19],"[7, 13]",2.0,23.354,23.35,1
19,[18],"[1, 3]",2.0,6.923,6.92,1
20,"[29, 18]","[7, 0, 5]",4.0,18.278,13.04,2
21,"[28, 19]","[2, 3, 9]",13.0,11.077,11.08,2
22,[29],"[9, 0]",2.0,15.48,15.48,1
23,[18],"[6, 1]",2.0,9.985,9.98,1
24,"[28, 29]","[6, 0, 7]",4.0,17.868,12.84,2
25,[19],"[3, 13]",6.0,19.491,16.67,1
26,[29],"[8, 7]",2.0,10.946,10.95,1
27,[28],"[0, 2]",2.0,7.128,7.13,1
28,[29],"[10, 9]",2.0,2.496,2.5,1
29,"[19, 18]","[8, 3, 0]",11.8,17.308,12.48,1
