number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:18:35,[],[]
2,6,08:32:59,08:35:00,['3'],[]
3,4,08:40:54,08:43:22,['10'],[]
4,3,08:46:49,08:48:50,[],"['10', '3']"
5,6,08:54:32,08:57:27,['50'],[]
6,4,09:03:21,09:05:22,['51'],['50']
7,3,09:08:49,09:35:00,['59'],['51']
8,4,09:38:27,09:40:27,['29'],['59']
9,3,09:43:54,10:14:38,['20'],['29']
10,5,10:20:32,10:55:00,['8'],['20']
11,0,11:09:48,12:25:00,['24'],['8']
12,4,12:37:06,13:01:14,['16'],['24']
13,0,13:13:20,13:25:35,[],['16']
14,1,13:31:48,13:45:00,"['7', '11']",[]
15,3,13:51:55,13:53:55,['39'],[]
16,4,13:57:22,13:59:23,[],"['7', '39', '11']"
17,1,14:09:46,14:37:06,['67'],[]
18,3,14:44:01,14:53:09,['1'],['67']
19,4,14:56:36,14:58:36,['42'],['1']
20,3,15:02:03,15:04:04,['47'],['42']
21,2,15:07:31,15:14:32,[],['47']
22,1,15:17:59,15:20:00,['64'],[]
23,3,15:26:55,15:28:55,['17'],[]
24,4,15:32:22,15:35:43,['68'],"['64', '17']"
25,3,15:39:10,15:46:10,[],['68']
26,2,15:49:37,16:18:32,['56'],[]
27,1,16:21:59,16:25:52,[],['56']
28,21,16:32:05,19:00:00,[],[]
