number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:02:07,[],[]
2,4,08:14:13,08:16:14,['9'],[]
3,3,08:19:41,10:00:00,['12'],['9']
4,0,10:09:18,11:01:44,['3'],['12']
5,4,11:13:50,11:17:38,"['22', '0']",['3']
6,3,11:21:05,11:23:06,['19'],['0']
7,1,11:30:01,11:32:01,[],['22']
8,0,11:38:14,11:48:40,[],['19']
9,3,11:57:58,12:18:40,"['29', '14']",[]
10,4,12:22:07,12:24:08,[],"['29', '14']"
11,3,12:27:35,13:01:27,['20'],[]
12,6,13:07:09,13:15:30,[],['20']
13,3,13:21:12,13:23:12,['18'],[]
14,4,13:26:39,13:32:07,['26'],['18']
15,3,13:35:34,13:37:35,[],['26']
16,21,13:46:53,19:00:00,[],[]
