user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[164],"[26, 13]",2.0,6.383,6.38,1
1,"[14, 8, 9]","[20, 4, 3, 9]",18.0,25.209,24.99,3
2,"[9, 14]","[11, 0, 20]",10.7,43.114,28.45,3
3,"[8, 192]","[6, 0, 21]",4.0,22.969,22.97,2
4,"[9, 164]","[7, 13, 27]",15.8,28.179,27.73,2
5,"[164, 19]","[25, 13, 7]",23.3,29.922,29.92,2
6,[8],"[0, 4]",6.0,14.051,12.11,1
7,"[4, 19, 164]","[16, 0, 13, 25]",16.4,41.971,30.43,4
8,"[14, 192]","[15, 0, 21]",11.4,17.563,17.56,2
9,"[4, 19]","[14, 0, 7]",10.3,9.0,9.0,2
10,"[164, 192]","[13, 24, 0]",14.2,27.441,24.31,1
11,[14],"[18, 16]",2.0,12.538,12.54,1
12,[64],"[26, 25]",2.0,7.228,7.23,1
13,"[92, 19, 8]","[22, 0, 3, 4]",6.8,24.626,23.96,2
14,"[92, 64]","[0, 24, 13]",9.2,27.679,24.31,1
15,"[92, 64]","[23, 24, 13]",19.2,12.106,12.11,2
16,"[19, 8, 4]","[11, 3, 4, 16]",23.5,18.267,18.27,3
17,"[19, 8]","[9, 3, 4]",18.9,11.077,11.08,2
18,"[9, 18]","[7, 0, 1]",4.0,9.692,9.69,2
19,[19],"[10, 11]",2.0,1.958,1.96,1
20,"[19, 64]","[8, 13, 25]",8.1,26.149,19.11,2
21,[18],"[0, 1]",2.0,6.231,6.23,1
22,"[14, 8]","[20, 4, 1]",18.1,24.517,24.3,2
23,"[192, 9]","[21, 0, 7]",4.0,12.025,12.02,2
24,"[8, 9, 92]","[6, 3, 0, 23]",22.6,30.395,29.78,2
25,[164],"[24, 12]",2.0,4.037,4.04,1
26,"[64, 9]","[24, 13, 10]",4.0,14.024,14.02,2
27,[64],"[13, 25]",2.0,6.568,6.57,1
28,"[19, 164]","[3, 13, 26]",4.0,23.056,23.06,2
29,"[8, 14]","[2, 4, 20]",6.6,20.838,20.84,2
30,"[4, 92, 64]","[15, 0, 24, 12]",23.2,33.91,29.29,4
31,"[9, 8, 192]","[10, 3, 0, 21]",20.3,27.668,25.42,2
32,[19],"[8, 3]",2.0,4.154,4.15,1
33,"[14, 18, 9]","[16, 4, 3, 13]",24.6,23.863,23.86,3
34,"[92, 19]","[21, 0, 8]",19.7,22.971,21.04,2
35,"[4, 8, 9, 164]","[14, 0, 3, 13, 27]",18.1,35.904,28.6,3
36,[9],"[7, 8]",2.0,10.946,10.95,1
37,"[14, 8]","[17, 4, 3]",4.0,8.357,8.36,2
38,"[18, 192, 64]","[3, 0, 24, 26]",6.0,33.648,23.06,2
39,[14],"[19, 4]",2.0,9.237,9.24,1
40,"[19, 192, 164]","[7, 0, 24, 25]",23.8,28.735,29.92,2
41,"[18, 9, 64]","[6, 3, 13, 26]",14.4,32.432,28.76,3
42,"[92, 4]","[24, 0, 20]",24.9,43.027,42.87,2
43,[19],"[13, 7]",4.0,23.801,23.35,1
44,[4],"[19, 16]",2.0,12.481,12.48,1
45,"[164, 92, 19, 8]","[27, 24, 0, 3, 4]",10.8,35.842,24.51,3
46,[19],"[3, 7]",2.0,7.128,7.13,1
47,"[192, 18]","[21, 0, 1]",4.0,14.794,14.79,2
48,[192],"[21, 22]",2.0,3.53,3.53,1
49,"[192, 8]","[23, 0, 2]",9.0,22.499,22.5,2
