number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:12:20,[],[]
2,17,08:27:59,08:30:00,"['66', '61']",[]
3,0,08:45:39,08:47:39,[],"['66', '61']"
4,15,08:56:38,09:05:00,['31'],[]
5,0,09:14:00,11:21:21,['32'],['31']
6,20,11:43:21,11:45:21,[],['32']
7,18,11:50:23,11:52:23,['17'],[]
8,17,11:56:35,11:58:36,['20'],[]
9,4,12:03:29,12:05:29,[],"['20', '17']"
10,19,12:14:43,12:36:42,['14'],[]
11,4,12:45:56,12:51:14,[],['14']
12,19,13:00:28,13:25:00,['26'],[]
13,18,13:27:04,13:30:00,['0'],[]
14,4,13:39:00,14:30:58,['60'],"['0', '26']"
15,18,14:39:58,14:41:58,[],['60']
16,19,14:44:02,15:02:27,['51'],[]
17,4,15:11:41,15:13:42,['8'],['51']
18,14,15:21:35,16:30:00,"['25', '38']",['8']
19,4,16:37:53,16:39:53,[],['25']
20,19,16:49:07,16:58:36,[],['38']
21,0,17:15:56,17:17:57,"['11', '24']",[]
22,14,17:23:29,17:25:30,[],"['11', '24']"
23,28,17:31:02,19:00:00,[],[]
