number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:42:19,[],[]
2,7,08:45:46,08:47:47,['10'],[]
3,3,08:54:54,08:57:54,['50'],[]
4,13,09:14:34,09:16:53,[],"['50', '10']"
5,8,09:29:25,09:31:25,['29'],[]
6,3,09:35:34,09:37:35,[],['29']
7,9,09:45:11,09:47:12,['7'],[]
8,13,09:56:18,09:58:18,"['4', '9']",['7']
9,8,10:10:50,10:12:50,['19'],[]
10,3,10:16:59,10:31:44,['35'],"['19', '4', '9']"
11,9,10:39:20,10:43:57,[],['35']
12,3,10:51:33,10:53:33,['36'],[]
13,11,11:04:37,11:09:58,[],['36']
14,7,11:27:37,11:45:00,['23'],[]
15,3,11:52:07,12:00:00,['24'],[]
16,8,12:04:09,12:06:09,[],['24']
17,10,12:11:51,12:13:51,[],['23']
18,7,12:29:54,12:47:57,['38'],[]
19,0,12:51:24,12:53:24,[],['38']
20,28,12:53:23,19:00:00,[],[]
