number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:51:51,[],[]
2,0,08:51:51,08:53:51,['0'],[]
3,1,09:00:04,09:02:04,[],['0']
4,3,09:08:59,09:29:09,"['7', '16']",[]
5,4,09:32:36,09:38:52,[],['7']
6,5,09:44:34,09:51:34,[],['16']
7,3,09:57:28,09:59:29,['15'],[]
8,4,10:02:56,10:16:00,['1'],['15']
9,3,10:19:27,10:21:27,[],['1']
10,0,10:30:45,10:32:46,['14'],[]
11,6,10:47:10,10:49:10,[],['14']
12,5,10:49:51,10:58:23,['5'],[]
13,4,11:04:05,11:16:28,['19'],[]
14,2,11:23:23,11:25:24,[],['19']
15,0,11:32:31,11:34:31,[],['5']
16,28,11:34:30,19:00:00,[],[]
