user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[164, 19]","[12, 13, 9]",4.0,11.875,11.88,2
1,"[19, 18]","[7, 3, 5]",4.0,13.043,13.04,2
2,"[164, 9, 18]","[24, 13, 3, 5]",25.5,29.156,29.16,3
3,[4],"[15, 20]",18.7,20.298,20.08,1
4,"[9, 18]","[11, 3, 5]",7.0,20.247,16.99,2
5,[164],"[12, 24]",2.0,4.037,4.04,1
6,[18],"[4, 5]",2.0,5.709,5.71,1
7,"[19, 64]","[3, 13, 24]",16.7,28.59,23.24,2
8,[192],"[23, 0]",2.0,15.372,15.37,1
9,-,-,-,-,16.62,3
10,[164],"[13, 25]",2.0,6.568,6.57,1
11,"[18, 4, 92]","[5, 4, 0, 23]",19.0,34.513,30.19,2
12,"[19, 164]","[3, 13, 27]",17.8,21.626,21.05,2
13,"[92, 64]","[23, 24, 25]",18.3,9.692,9.69,2
14,"[18, 19]","[6, 3, 11]",16.3,21.125,16.79,2
15,[4],"[17, 14]",16.2,12.789,12.38,1
16,"[14, 18, 19]","[19, 4, 3, 8]",23.1,16.852,16.85,3
17,"[14, 18]","[19, 4, 6]",18.5,15.638,15.15,2
18,"[64, 19]","[27, 13, 10]",6.5,11.835,11.83,2
19,[8],"[1, 2]",2.0,3.462,3.46,1
20,-,-,-,-,9.0,2
21,"[164, 9, 18, 14]","[26, 13, 3, 4, 17]",21.7,31.525,31.41,4
22,"[4, 18, 9]","[18, 4, 3, 8]",22.6,16.615,16.62,3
23,[164],"[13, 26]",2.0,6.383,6.38,1
24,"[4, 92]","[20, 0, 22]",8.9,33.852,33.85,2
25,"[19, 64]","[10, 13, 26]",6.0,15.266,13.84,2
26,"[64, 192]","[12, 24, 0]",22.4,24.91,24.91,2
27,[14],"[16, 17]",2.0,8.563,8.56,1
28,"[92, 4]","[21, 0, 17]",4.0,24.229,24.23,2
29,"[64, 19]","[27, 13, 3]",8.5,21.626,21.05,2
30,"[64, 19, 18]","[25, 13, 3, 0]",12.5,34.976,25.03,2
31,"[14, 18]","[16, 4, 5]",7.6,9.437,9.44,2
32,[9],"[7, 10]",2.0,16.058,16.06,1
33,"[92, 9]","[23, 0, 7]",18.5,18.833,18.83,2
34,"[14, 8]","[18, 4, 0]",6.0,23.051,18.43,1
35,"[8, 19]","[1, 0, 7]",18.3,9.692,9.69,2
36,"[19, 192]","[9, 0, 21]",14.5,25.493,24.04,2
37,"[14, 18, 19]","[17, 4, 3, 10]",18.4,18.148,18.15,3
38,"[14, 18, 9, 164]","[19, 4, 3, 13, 25]",16.5,35.958,35.94,4
39,"[18, 9]","[6, 3, 13]",16.5,26.05,22.38,2
40,"[92, 4]","[22, 0, 19]",14.6,32.751,29.2,2
41,"[19, 64]","[8, 13, 12]",6.0,15.935,15.31,2
42,"[19, 164]","[10, 13, 24]",13.1,14.262,14.02,2
43,"[14, 18, 19, 192, 64]","[17, 4, 3, 0, 24, 25]",16.9,42.85,31.6,4
44,"[64, 192, 8, 4]","[12, 24, 0, 4, 20]",14.6,50.935,36.82,4
45,"[14, 8]","[20, 4, 2]",19.0,20.963,20.84,2
46,"[9, 18]","[11, 3, 4]",4.0,14.538,14.54,2
47,"[192, 19]","[21, 0, 10]",19.0,28.943,25.42,2
48,[9],"[13, 3]",2.0,16.673,16.67,1
49,[14],"[17, 15]",4.0,11.278,11.27,1
