number,stop ID,arrival time,departure time,pick up users,drop of users
1,28,07:00:00,08:23:06,[],[]
2,0,08:23:06,08:32:28,['26'],[]
3,11,08:51:06,08:53:06,[],['26']
4,13,08:58:48,09:13:01,"['1', '0']",[]
5,8,09:25:33,09:27:34,[],['0']
6,3,09:31:43,09:33:43,[],['1']
7,7,09:40:50,10:11:12,"['37', '33', '55']",[]
8,3,10:18:19,10:20:20,"['41', '58', '5']","['37', '33', '55']"
9,9,10:27:56,10:29:57,[],['5']
10,10,10:32:26,10:34:26,[],"['41', '58']"
11,3,10:44:13,11:18:57,"['47', '19', '28', '13']",[]
12,8,11:23:06,11:25:06,[],['28']
13,11,11:32:01,11:34:01,[],['47']
14,13,11:39:43,11:41:44,[],"['13', '19']"
15,28,12:06:02,19:00:00,[],[]
