number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:47:00,"['17', '50']",[]
2,19,08:53:28,08:57:00,['48'],[]
3,18,08:59:46,09:01:46,[],['48']
4,16,09:08:25,09:12:52,[],['50']
5,0,09:19:20,09:21:20,['0'],['17']
6,17,09:29:51,09:31:51,[],['0']
7,0,09:40:22,09:45:15,['65'],[]
8,17,09:53:46,09:55:46,[],['65']
9,0,10:04:17,10:25:12,"['9', '12', '37']",[]
10,15,10:27:58,10:29:58,[],"['9', '12']"
11,16,10:33:40,10:38:21,[],['37']
12,18,10:45:00,10:47:00,['41'],[]
13,17,10:50:42,10:52:42,['53'],[]
14,0,11:01:13,11:38:52,['2'],"['53', '41']"
15,18,11:50:26,11:52:26,[],['2']
16,19,11:55:12,15:15:30,['26'],[]
17,0,15:29:34,15:31:34,['62'],['26']
18,19,15:45:38,15:47:38,[],['62']
19,20,15:50:24,16:25:02,['43'],[]
20,0,16:41:40,16:43:40,['64'],['43']
21,15,16:46:26,16:48:26,[],['64']
22,19,17:00:00,17:02:00,['19'],[]
23,0,17:16:04,17:23:40,[],['19']
24,21,17:43:50,19:00:00,[],[]
