user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[130],"[0, 17]",2.0,8.52,10.52,1
1,"[14, 20]","[24, 12, 13]",4.9,11.33,9.03,1
2,"[14, 120, 130]","[13, 12, 0, 16]",13.3,27.03,21.62,2
3,[14],"[24, 13]",2.0,7.03,9.03,1
4,"[20, 14]","[7, 12, 23]",6.8,19.03,23.03,2
5,[30],"[21, 18]",2.0,9.23,11.23,1
6,[30],"[15, 19]",2.0,11.57,13.57,1
7,[120],"[7, 10]",2.0,6.47,8.47,1
8,"[10, 21]","[5, 4, 2]",24.0,18.47,22.47,2
9,"[21, 130]","[4, 0, 18]",28.8,37.75,41.57,2
10,[14],"[24, 23]",2.0,3.92,5.92,1
11,"[120, 130]","[11, 0, 15]",7.7,21.58,23.73,2
12,"[14, 120, 10]","[25, 12, 4, 5]",28.6,26.68,32.3,3
13,"[20, 130]","[12, 0, 16]",15.5,24.33,24.32,2
14,"[20, 130]","[7, 0, 19]",4.0,38.92,42.92,2
15,"[30, 20]","[15, 0, 7]",4.0,27.62,31.62,2
16,"[130, 20]","[21, 0, 4]",17.6,46.15,39.73,2
17,"[14, 130]","[22, 21, 17]",4.0,18.47,22.45,2
18,"[130, 120]","[18, 0, 4]",23.9,37.57,41.57,2
19,[20],"[8, 12]",6.6,16.53,18.52,1
