number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:35:14,['8'],[]
2,13,08:48:57,08:50:57,[],['8']
3,12,08:57:40,08:59:40,['25'],[]
4,13,09:06:23,09:17:00,['6'],['25']
5,23,09:23:39,09:25:39,[],['6']
6,25,09:29:34,09:34:04,['21'],[]
7,12,09:41:17,09:53:58,['7'],['21']
8,13,10:00:41,10:04:12,['13'],[]
9,25,10:07:07,10:09:07,[],['13']
10,21,10:21:56,10:23:56,['2'],['7']
11,25,10:36:45,10:42:00,['5'],[]
12,13,10:44:55,10:46:55,[],"['2', '5']"
13,21,11:00:38,19:00:00,[],[]
