number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:03:35,[],[]
2,2,08:15:00,08:17:00,['13'],[]
3,4,08:31:46,10:34:42,"['56', '29']",['13']
4,1,10:55:00,10:57:00,[],"['56', '29']"
5,2,11:02:32,11:37:00,['20'],[]
6,0,11:48:25,11:54:02,['47'],['20']
7,2,12:05:27,12:07:27,['17'],[]
8,3,12:12:59,12:14:59,[],['47']
9,4,12:24:13,12:33:12,['22'],['17']
10,3,12:42:26,14:02:00,['59'],['22']
11,0,14:18:51,14:32:00,['31'],['59']
12,3,14:48:51,14:50:51,['9'],[]
13,4,15:00:05,15:02:05,[],"['31', '9']"
14,0,15:28:05,15:30:05,['35'],[]
15,1,15:36:17,16:32:00,"['36', '19', '16']",['35']
16,0,16:38:12,16:45:09,['49'],"['36', '19', '16']"
17,2,16:56:34,17:20:34,[],['49']
18,0,17:31:59,19:00:00,[],[]
