user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[110],"[7, 6]",2.0,2.77,4.77,1
1,[120],"[7, 11]",2.0,8.52,10.52,1
2,[21],"[4, 0]",21.7,26.5,28.0,1
3,[110],"[7, 5]",2.0,7.93,9.93,1
4,"[120, 10]","[10, 7, 6]",21.0,9.23,13.23,2
5,"[21, 120]","[1, 0, 13]",7.9,17.83,21.35,2
6,[10],"[4, 8]",4.0,12.92,14.92,1
7,[120],"[12, 11]",2.0,4.97,6.97,1
8,"[121, 120]","[2, 0, 11]",17.3,34.27,29.57,2
9,[10],"[6, 8]",2.0,7.22,9.22,1
10,"[121, 110, 20]","[3, 4, 7, 9]",19.8,26.25,25.05,2
11,"[120, 21]","[12, 0, 3]",6.0,34.72,29.0,2
12,"[121, 110]","[0, 4, 6]",6.8,34.7,31.62,2
13,[20],"[13, 11]",4.0,11.68,13.68,1
14,"[20, 21]","[12, 0, 1]",17.3,24.07,24.05,2
15,[120],"[9, 0]",2.0,19.47,21.47,1
16,[120],"[11, 9]",2.0,3.8,5.8,1
17,"[20, 110, 121]","[14, 7, 4, 3]",8.0,40.92,28.78,2
18,[20],"[9, 14]",15.0,15.7,14.55,1
19,"[120, 121]","[14, 0, 4]",10.4,34.13,23.55,1
20,[120],"[11, 13]",4.0,11.68,13.68,1
21,[20],"[12, 9]",4.0,8.78,7.83,1
22,"[110, 20]","[5, 7, 11]",4.0,16.45,18.5,2
23,[121],"[4, 0]",2.0,26.0,28.0,1
24,[120],"[0, 13]",2.0,11.15,13.15,1
25,"[120, 10]","[0, 7, 6]",10.0,34.12,31.62,2
26,"[120, 10]","[0, 8, 5]",14.2,39.92,33.7,2
27,"[110, 20]","[6, 7, 12]",12.8,13.98,17.92,2
28,[121],"[1, 2]",2.0,5.53,7.53,1
29,"[10, 20]","[5, 7, 9]",23.0,13.32,17.32,2
30,"[20, 21]","[13, 0, 4]",7.8,37.65,24.48,1
31,[120],"[10, 0]",2.0,22.2,24.2,1
32,[20],"[7, 14]",6.8,19.58,19.83,1
33,[120],"[9, 0]",8.0,26.65,21.47,1
34,"[20, 21]","[11, 0, 2]",7.3,34.25,29.57,2
35,"[20, 110]","[13, 7, 8]",6.0,28.87,23.93,1
36,"[121, 10]","[2, 4, 8]",26.0,27.7,31.68,2
37,[120],"[12, 10]",2.0,10.32,12.32,1
38,[120],"[14, 9]",4.0,15.7,14.55,1
39,"[20, 10]","[0, 7, 5]",9.8,42.58,33.7,2
40,[121],"[1, 3]",4.0,11.08,13.08,1
41,"[110, 20]","[8, 4, 10]",10.5,18.83,12.32,1
42,[110],"[5, 7]",2.0,7.93,9.93,1
43,-,-,-,-,15.85,1
44,[21],"[2, 0]",4.0,11.73,13.42,1
45,"[20, 21]","[7, 0, 1]",15.6,33.72,35.05,2
46,"[121, 20]","[2, 4, 13]",6.5,37.27,26.57,2
47,"[110, 20]","[6, 7, 10]",21.0,9.23,13.23,2
48,[21],"[2, 3]",2.0,5.53,7.53,1
49,"[10, 120]","[8, 7, 0]",10.6,37.23,32.23,1
50,"[20, 21]","[13, 0, 1]",21.0,17.83,21.35,2
51,"[20, 21]","[13, 0, 2]",5.3,22.57,26.57,2
52,[121],"[2, 1]",2.0,5.53,7.53,1
53,[20],"[13, 10]",2.0,17.02,19.02,1
54,"[110, 20]","[5, 7, 0]",16.7,39.97,33.7,2
55,"[121, 20]","[2, 4, 10]",4.0,20.68,24.68,2
56,[21],"[1, 0]",2.0,6.2,8.2,1
57,[20],"[7, 11]",2.0,8.52,10.52,1
58,[120],"[12, 13]",2.0,6.72,8.72,1
59,[120],"[11, 8]",2.0,13.72,15.72,1
60,"[110, 20]","[5, 4, 12]",10.5,19.47,23.08,2
61,"[110, 121]","[6, 4, 1]",27.0,29.02,33.0,2
62,"[10, 121]","[7, 4, 2]",13.2,25.92,29.92,2
63,[120],"[8, 12]",11.9,16.6,18.52,1
64,"[121, 10]","[1, 4, 8]",28.0,33.23,37.22,2
65,[120],"[7, 10]",2.0,6.47,8.47,1
66,[120],"[14, 4]",2.0,21.55,23.55,1
67,[21],"[3, 1]",2.0,11.08,13.08,1
68,-,-,-,-,18.85,1
69,"[121, 10]","[3, 4, 5]",22.0,12.92,16.93,2
70,"[21, 20]","[1, 0, 13]",23.5,17.83,21.35,2
71,[20],"[7, 9]",2.0,5.38,7.38,1
72,[20],"[10, 11]",2.0,5.53,7.53,1
73,[20],"[13, 10]",4.0,28.38,19.02,1
74,[120],"[9, 0]",17.3,24.18,21.47,1
75,[110],"[4, 8]",2.0,12.92,14.92,1
76,[20],"[0, 7]",2.0,24.85,26.85,1
77,"[21, 20]","[2, 0, 14]",4.0,19.37,23.35,2
78,[120],"[12, 7]",5.9,16.78,13.15,1
79,[120],"[8, 11]",2.0,13.72,15.72,1
