number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:54:14,[],[]
2,9,09:05:00,09:07:00,['25'],[]
3,10,09:12:55,09:14:55,[],['25']
4,11,09:20:27,09:32:00,['33'],[]
5,7,09:40:31,09:42:31,[],['33']
6,9,09:47:54,10:12:00,['24'],[]
7,14,10:24:33,10:27:08,['36'],['24']
8,0,10:35:04,10:37:04,[],['36']
9,14,10:45:00,10:47:00,['38'],[]
10,12,10:53:43,10:55:43,[],['38']
11,14,11:02:26,11:22:00,['14'],[]
12,9,11:34:33,11:36:33,[],['14']
13,7,11:41:56,11:43:56,['15'],[]
14,4,11:55:05,12:03:22,['22'],['15']
15,11,12:14:10,12:22:00,['20'],['22']
16,14,12:33:05,12:35:05,[],['20']
17,0,12:43:01,12:45:01,['39'],[]
18,14,12:52:57,12:57:00,['19'],['39']
19,0,13:04:56,13:06:56,[],['19']
20,9,13:26:24,13:28:24,['5'],[]
21,10,13:34:19,13:36:19,['10'],[]
22,11,13:41:51,13:43:51,[],['10']
23,0,14:00:49,14:02:49,['13'],['5']
24,14,14:10:45,14:12:45,['12'],[]
25,12,14:19:28,14:21:28,[],['13']
26,8,14:37:59,19:00:00,[],['12']
