user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[110, 20, 21]","[8, 7, 0, 2]",13.0,41.65,31.68,2
1,-,-,-,-,29.27,2
2,-,-,-,-,29.25,2
3,-,-,-,-,17.77,1
4,[20],"[7, 11]",4.0,12.0,10.52,1
5,[20],"[0, 14]",2.0,7.93,9.93,1
6,[10],"[4, 7]",18.5,11.63,13.15,1
7,[120],"[13, 7]",6.0,23.68,18.85,1
8,[110],"[7, 5]",2.0,7.93,9.93,1
9,"[121, 110]","[1, 4, 8]",28.0,33.23,37.22,2
10,[110],"[5, 8]",2.0,9.23,11.23,1
11,[120],"[14, 13]",2.0,3.7,5.7,1
12,-,-,-,-,21.47,1
13,"[20, 110]","[10, 7, 4]",4.0,17.62,7.92,1
14,"[21, 10]","[2, 4, 5]",17.0,18.47,22.47,2
15,[20],"[14, 4]",2.0,21.55,23.55,1
16,[21],"[2, 0]",2.0,11.42,13.42,1
17,"[21, 10]","[3, 4, 7]",17.7,20.38,24.38,2
18,"[10, 21]","[6, 4, 3]",9.2,17.93,21.93,2
19,[120],"[9, 0]",2.0,19.47,21.47,1
20,"[121, 10, 20]","[2, 4, 7, 9]",8.4,31.3,30.58,2
21,"[10, 121]","[5, 4, 2]",21.4,18.47,22.47,2
22,[20],"[10, 12]",4.0,10.52,12.32,1
23,"[10, 120]","[6, 4, 14]",4.0,30.25,24.6,2
24,[121],"[0, 4]",4.0,26.08,28.0,1
25,-,-,-,-,24.05,2
26,-,-,-,-,25.05,2
27,[20],"[11, 14]",4.0,15.37,13.08,1
28,[10],"[5, 7]",2.0,7.93,9.93,1
29,[21],"[2, 3]",2.0,5.53,7.53,1
30,[121],"[3, 0]",2.0,16.85,18.85,1
31,[20],"[9, 7]",2.0,5.38,7.38,1
32,-,-,-,-,12.15,2
33,[121],"[4, 0]",12.8,26.08,28.0,1
34,"[10, 21]","[8, 4, 0]",5.8,38.92,32.23,1
35,-,-,-,-,24.05,2
36,[120],"[14, 7]",12.5,27.37,19.83,1
37,-,-,-,-,29.25,2
38,[110],"[7, 5]",2.0,7.93,9.93,1
39,[20],"[10, 13]",4.0,17.22,19.02,1
40,[120],"[9, 4]",2.0,11.82,13.82,1
41,"[20, 110]","[10, 7, 4]",4.0,17.62,7.92,1
42,"[121, 110]","[3, 4, 5]",22.6,12.92,16.93,2
43,-,-,-,-,12.8,1
44,-,-,-,-,23.35,2
45,"[121, 20]","[3, 4, 11]",10.2,20.03,24.03,2
46,[10],"[8, 4]",4.0,15.92,14.92,1
47,"[21, 10]","[3, 4, 7]",17.7,20.38,24.38,2
48,[120],"[11, 10]",2.0,5.53,7.53,1
49,[20],"[11, 10]",2.0,5.53,7.53,1
