number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:00:40,[],[]
2,23,08:15:00,08:17:00,"['66', '8']",[]
3,12,08:24:53,08:58:35,['6'],"['66', '8']"
4,24,09:03:12,09:05:12,[],['6']
5,12,09:09:49,09:11:49,['40'],[]
6,13,09:18:32,09:26:00,['52'],['40']
7,23,09:32:39,09:37:00,['10'],['52']
8,13,09:43:39,09:53:09,[],['10']
9,12,09:59:52,10:53:05,['76'],[]
10,23,11:00:58,11:17:00,['95'],['76']
11,12,11:24:53,11:46:14,"['47', '26']",['95']
12,23,11:54:07,11:56:07,['63'],"['47', '26']"
13,21,12:10:27,12:12:27,['57'],['63']
14,25,12:25:16,12:27:16,['33'],[]
15,13,12:30:11,12:32:11,[],['57']
16,12,12:38:54,12:57:51,['55'],['33']
17,24,13:02:28,13:25:23,['43'],['55']
18,12,13:30:00,14:39:30,['78'],['43']
19,22,14:55:10,14:57:10,[],['78']
20,21,15:02:42,15:24:23,['28'],[]
21,25,15:37:12,16:00:03,[],['28']
22,21,16:12:52,19:00:00,[],[]
