user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[120, 114]","[9, 13, 22]",24.2,22.32,25.5,2
1,"[114, 120, 30]","[25, 13, 0, 18]",15.0,27.18,26.05,2
2,"[30, 14, 120]","[19, 21, 12, 14]",6.0,33.15,26.0,2
3,"[130, 114, 120]","[19, 21, 13, 4]",26.4,42.67,44.07,2
4,[20],"[12, 4]",2.0,15.77,17.77,1
5,"[130, 120]","[17, 0, 14]",24.0,16.45,20.45,2
6,"[120, 30]","[10, 0, 16]",21.0,34.63,32.67,2
7,[21],"[1, 3]",2.0,11.08,13.08,1
8,"[20, 14]","[7, 12, 22]",16.1,32.45,30.82,2
9,"[30, 20]","[16, 0, 9]",26.0,25.93,29.93,2
10,[30],"[21, 0]",17.2,24.92,22.17,1
11,[10],"[4, 8]",2.0,12.92,14.92,1
12,"[114, 130]","[22, 21, 18]",19.5,14.77,18.77,2
13,"[21, 130]","[1, 0, 18]",19.0,17.75,21.77,2
14,[20],"[7, 10]",2.0,6.47,8.47,1
15,"[20, 121]","[8, 0, 2]",13.0,41.65,31.68,2
16,"[130, 121]","[15, 0, 3]",6.0,19.73,23.62,2
17,"[130, 121]","[15, 0, 2]",4.0,14.18,18.18,2
18,"[30, 21]","[17, 0, 1]",9.4,18.2,18.72,2
19,"[10, 21, 120, 114]","[5, 4, 0, 13, 21]",10.0,55.05,44.5,3
