number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,07:52:11,[],[]
2,25,08:05:00,08:07:00,['25'],[]
3,12,08:14:13,08:16:13,[],['25']
4,23,08:24:06,10:07:00,['11'],[]
5,12,10:14:53,10:20:06,[],['11']
6,13,10:26:49,10:34:08,['17'],[]
7,25,10:37:03,10:39:03,[],['17']
8,22,10:47:34,11:05:55,['39'],[]
9,23,11:15:00,11:17:00,['9'],[]
10,13,11:23:39,11:25:39,[],['9']
11,12,11:32:22,11:47:12,[],['39']
12,24,11:51:49,12:32:01,['12'],[]
13,13,12:39:03,12:52:12,"['30', '8']",['12']
14,21,13:05:55,19:00:00,[],"['30', '8']"
