user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[14, 20, 121]","[13, 12, 0, 2]",10.0,31.98,26.57,2
1,"[30, 114]","[18, 21, 22]",4.0,14.77,18.77,2
2,"[14, 130]","[25, 21, 17]",23.6,26.97,28.58,3
3,"[30, 121, 10]","[16, 0, 4, 5]",29.3,36.33,42.17,3
4,-,-,-,-,47.27,3
5,"[114, 120, 110]","[13, 12, 7, 6]",24.0,20.65,23.62,2
6,[130],"[15, 19]",2.0,11.57,13.57,1
7,-,-,-,-,36.47,2
8,"[10, 120, 14]","[6, 7, 13, 21]",26.6,36.68,39.33,3
9,-,-,-,-,27.43,2
10,"[130, 121, 110]","[20, 0, 4, 6]",18.1,51.93,45.03,4
11,"[110, 120]","[4, 7, 12]",6.0,22.78,17.77,1
12,[110],"[5, 6]",2.0,5.92,7.92,1
13,-,-,-,-,35.43,2
14,-,-,-,-,9.03,1
15,-,-,-,-,35.58,3
16,"[14, 20, 121]","[25, 13, 0, 3]",19.9,31.35,36.92,3
17,"[14, 20, 130]","[23, 12, 0, 16]",19.4,32.87,30.27,3
18,[120],"[9, 13]",16.5,12.55,14.0,1
19,"[30, 121]","[15, 0, 1]",15.7,8.97,12.97,2
20,"[130, 14]","[20, 21, 23]",22.7,18.02,22.03,2
21,"[10, 121]","[8, 4, 3]",9.6,22.15,26.15,2
22,"[110, 121, 30]","[6, 4, 0, 20]",18.7,51.35,45.03,4
23,"[130, 120, 114]","[15, 0, 12, 24]",27.7,21.23,26.95,3
24,"[130, 20, 14]","[18, 0, 12, 24]",11.5,32.4,31.07,2
25,"[21, 30, 14]","[1, 0, 21, 22]",18.5,31.88,33.67,3
26,[20],"[10, 7]",4.0,11.3,8.47,1
27,[20],"[0, 12]",2.0,13.85,15.85,1
28,[114],"[13, 23]",2.0,6.65,8.65,1
29,"[120, 14]","[0, 12, 25]",4.0,21.05,18.07,2
30,"[130, 120, 110]","[17, 0, 4, 5]",26.5,42.73,44.22,3
31,"[130, 120]","[15, 0, 10]",26.0,24.97,28.97,2
32,"[120, 110]","[0, 7, 6]",11.2,27.77,31.62,2
33,[110],"[4, 8]",6.0,17.02,14.92,1
34,[30],"[20, 17]",2.0,9.23,11.23,1
35,"[21, 20]","[1, 0, 10]",22.4,28.38,30.22,2
36,"[14, 20]","[24, 12, 13]",6.3,11.33,9.03,1
37,"[30, 121]","[17, 0, 1]",18.7,15.62,18.72,2
38,"[21, 130]","[1, 0, 19]",4.0,20.25,24.27,2
39,"[21, 10]","[2, 4, 8]",4.0,27.7,31.68,2
40,-,-,-,-,45.43,3
41,"[20, 14]","[11, 12, 22]",13.5,20.68,24.63,2
42,[130],"[20, 16]",2.0,10.77,12.77,1
43,"[30, 120]","[19, 0, 11]",22.2,32.88,35.03,2
44,[114],"[24, 12]",2.0,4.62,6.62,1
45,"[14, 30]","[12, 21, 19]",6.0,26.43,30.43,2
46,[20],"[11, 12]",2.0,4.97,6.97,1
47,[20],"[10, 9]",2.0,5.92,7.92,1
48,"[20, 121]","[12, 0, 1]",21.0,24.07,24.05,2
49,"[120, 130]","[14, 0, 20]",22.4,24.58,27.12,3
50,"[114, 20]","[21, 13, 7]",4.0,30.57,34.57,2
51,-,-,-,-,8.47,1
52,[20],"[14, 9]",4.0,12.55,14.55,1
53,[30],"[0, 15]",2.0,2.77,4.77,1
54,[14],"[24, 22]",2.0,12.82,14.82,1
55,[130],"[0, 15]",2.0,2.77,4.77,1
56,"[20, 130]","[10, 0, 21]",11.1,42.35,34.28,2
57,"[130, 20]","[16, 0, 12]",6.0,21.12,24.32,2
58,"[10, 120, 14]","[7, 8, 13, 21]",10.2,44.67,34.57,2
59,"[120, 14, 130]","[11, 13, 21, 20]",6.0,29.08,34.63,3
60,"[21, 130]","[3, 0, 21]",27.8,37.18,41.02,2
61,"[30, 120]","[17, 0, 7]",26.4,33.52,37.37,2
62,"[120, 14, 30]","[13, 12, 21, 20]",11.0,30.38,21.42,2
63,"[30, 114, 20]","[18, 21, 13, 8]",8.0,45.18,45.8,2
64,-,-,-,-,44.22,3
65,"[14, 20, 130]","[23, 12, 0, 15]",17.4,29.17,26.57,3
66,[30],"[0, 15]",2.0,2.77,4.77,1
67,-,-,-,-,17.92,2
68,"[114, 20]","[21, 13, 7]",4.0,30.57,34.57,2
69,-,-,-,-,48.12,3
70,"[121, 20]","[3, 4, 11]",4.0,20.03,24.03,2
71,"[120, 21]","[12, 0, 3]",6.0,34.72,29.0,2
72,"[110, 121]","[5, 4, 3]",13.4,12.92,16.93,2
73,-,-,-,-,33.67,3
74,[20],"[10, 4]",2.0,5.92,7.92,1
75,"[14, 20, 130]","[13, 12, 0, 18]",16.1,32.57,26.72,2
76,[120],"[4, 10]",2.0,5.92,7.92,1
77,"[120, 14]","[10, 12, 21]",8.0,33.3,34.28,2
78,-,-,-,-,18.02,2
79,[120],"[12, 13]",2.0,6.72,8.72,1
