number,stop ID,arrival time,departure time,pick up users,drop of users
1,21,07:00:00,08:48:26,['27'],[]
2,20,08:52:08,08:54:08,[],['27']
3,16,09:04:54,09:12:00,['26'],[]
4,0,09:18:28,09:20:28,['22'],['26']
5,17,09:28:59,10:01:29,['11'],['22']
6,0,10:10:00,10:12:00,['21'],['11']
7,15,10:14:46,10:16:46,['37'],['21']
8,20,10:30:50,10:32:50,[],['37']
9,18,10:38:22,10:58:26,['13'],[]
10,0,11:10:00,11:25:30,['16'],['13']
11,17,11:34:01,11:36:01,[],['16']
12,21,11:48:56,11:54:08,['10'],[]
13,20,11:57:50,11:59:50,[],['10']
14,21,12:03:32,19:00:00,[],[]
