number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:04:37,[],[]
2,7,08:10:00,08:12:00,['72'],[]
3,9,08:17:23,08:19:23,['75'],[]
4,14,08:31:56,08:33:56,[],"['72', '75']"
5,13,08:37:38,08:39:38,['65'],[]
6,8,09:01:34,09:03:34,[],['65']
7,7,09:08:57,09:10:57,['77'],[]
8,10,09:17:25,09:19:25,[],['77']
9,9,09:25:20,09:32:00,"['66', '71']",[]
10,11,09:35:48,09:37:48,[],['71']
11,0,09:54:46,10:10:25,"['73', '28']",['66']
12,10,10:32:37,10:34:37,[],['73']
13,7,10:41:05,10:57:51,['18'],['28']
14,0,11:22:42,11:37:00,['76'],['18']
15,14,11:44:56,11:52:00,['47'],[]
16,12,11:58:43,12:00:43,[],['76']
17,9,12:06:33,12:08:33,[],['47']
18,0,12:28:01,12:30:01,['29'],[]
19,13,12:41:10,12:43:10,['60'],[]
20,12,12:49:53,12:58:16,[],['29']
21,11,13:03:14,13:06:11,['39'],[]
22,7,13:14:42,13:16:42,['45'],"['39', '60']"
23,9,13:22:05,13:24:05,[],['45']
24,10,13:30:00,13:32:00,"['89', '0', '36']",[]
25,4,13:37:55,13:41:19,['17'],"['0', '89', '36']"
26,11,13:52:07,13:54:07,['99'],[]
27,12,13:59:05,14:43:17,['62'],"['17', '99']"
28,14,14:50:00,14:52:00,['15'],[]
29,0,14:59:56,15:01:56,['34'],"['62', '15']"
30,9,15:21:24,15:27:14,['37'],[]
31,7,15:32:37,15:34:37,"['27', '93']","['34', '37']"
32,9,15:40:00,15:42:00,['56'],[]
33,11,15:45:48,15:49:20,['14'],['93']
34,14,16:00:25,16:02:25,[],"['27', '56']"
35,0,16:10:21,16:12:21,"['80', '68']",['14']
36,14,16:20:17,16:22:17,[],['80']
37,13,16:25:59,16:27:59,['52'],[]
38,10,16:45:00,16:47:00,['53'],[]
39,7,16:53:28,17:00:03,['25'],"['52', '68', '53']"
40,11,17:08:34,17:10:34,['26'],['25']
41,4,17:21:22,17:23:22,[],['26']
42,8,17:36:17,19:00:00,[],[]
