user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,-,-,-,-,18.62,1
1,"[21, 20]","[2, 0, 9]",19.2,34.35,30.58,2
2,"[120, 110]","[11, 7, 6]",21.3,11.95,15.28,2
3,"[21, 120]","[4, 0, 14]",6.0,34.02,23.55,1
4,[120],"[11, 14]",2.0,11.08,13.08,1
5,"[20, 21, 110]","[14, 0, 4, 5]",9.0,37.82,29.25,2
6,"[121, 20]","[3, 0, 14]",26.0,24.78,28.78,2
7,[120],"[12, 14]",2.0,6.72,8.72,1
8,[20],"[4, 10]",2.0,5.92,7.92,1
9,[20],"[10, 13]",2.0,17.02,19.02,1
10,[110],"[4, 5]",2.0,3.7,5.7,1
11,"[21, 20]","[3, 0, 11]",7.1,35.67,24.03,2
12,"[20, 121]","[13, 0, 4]",7.8,37.63,24.48,1
13,[21],"[4, 3]",2.0,9.23,11.23,1
14,"[110, 21]","[6, 4, 0]",19.4,35.2,31.62,2
15,[20],"[8, 12]",4.0,20.63,18.52,1
16,"[10, 120]","[4, 7, 12]",14.5,22.3,17.77,1
17,"[121, 120]","[1, 4, 10]",4.0,26.22,30.22,2
18,"[110, 20]","[5, 7, 0]",23.4,32.8,33.7,2
19,"[121, 110]","[3, 4, 5]",11.9,12.92,16.93,2
20,"[21, 20]","[1, 0, 12]",10.8,20.03,24.05,2
21,[120],"[9, 7]",2.0,5.38,7.38,1
22,"[110, 21]","[8, 4, 3]",25.0,22.15,26.15,2
23,"[120, 21]","[11, 0, 1]",19.7,29.5,27.17,2
24,[120],"[11, 8]",2.0,13.72,15.72,1
25,"[121, 20]","[1, 0, 12]",22.2,20.03,24.05,2
26,[10],"[8, 6]",2.0,7.22,9.22,1
27,"[121, 120]","[2, 0, 12]",20.0,26.08,29.27,2
28,"[120, 110]","[13, 7, 6]",17.5,20.65,23.62,2
29,[120],"[13, 0]",2.0,11.15,13.15,1
30,"[20, 21]","[14, 0, 2]",24.0,19.37,23.35,2
31,[120],"[13, 12]",2.0,6.72,8.72,1
32,"[110, 121]","[5, 4, 1]",26.0,24.0,28.0,2
33,"[110, 20]","[4, 7, 9]",14.3,16.53,13.82,1
34,[20],"[12, 14]",2.0,6.72,8.72,1
35,"[20, 10]","[14, 7, 8]",22.9,23.22,25.15,1
36,"[120, 21]","[14, 0, 4]",10.1,34.43,23.55,1
37,[120],"[14, 10]",2.0,16.62,18.62,1
38,[20],"[10, 12]",2.0,10.32,12.32,1
39,"[121, 110]","[3, 4, 5]",23.0,12.92,16.93,2
40,"[121, 20]","[1, 0, 11]",24.1,25.02,27.17,2
41,"[21, 20]","[3, 0, 12]",19.3,31.12,29.0,2
42,"[110, 20]","[4, 7, 13]",16.3,28.53,24.48,1
43,[121],"[4, 1]",2.0,20.3,22.3,1
44,[20],"[12, 0]",2.0,13.85,15.85,1
45,"[120, 21]","[13, 0, 2]",19.6,23.37,26.57,2
46,"[121, 120]","[3, 0, 14]",20.0,24.9,28.78,2
47,[21],"[4, 3]",2.0,9.23,11.23,1
48,"[121, 20]","[1, 0, 10]",14.0,28.38,30.22,2
49,[20],"[0, 11]",4.0,18.82,18.97,1
