number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:57:00,['39'],[]
2,2,09:08:25,09:14:35,['36'],['39']
3,0,09:26:00,09:28:00,['29'],['36']
4,1,09:34:12,09:36:12,[],['29']
5,2,09:41:44,09:46:05,"['17', '21']",[]
6,1,09:51:37,09:54:50,['28'],['17']
7,0,10:01:02,10:03:02,[],"['28', '21']"
8,2,10:14:27,10:22:00,['45'],[]
9,0,10:33:25,10:48:51,"['49', '41']",['45']
10,4,11:14:51,11:23:09,"['30', '7', '11']","['49', '41']"
11,1,11:43:27,11:48:34,[],"['30', '7']"
12,0,11:54:46,12:07:00,['67'],['11']
13,1,12:13:12,12:17:00,['27'],['67']
14,0,12:23:12,13:58:05,['53'],['27']
15,1,14:04:17,14:07:00,"['64', '8']",['53']
16,0,14:13:12,19:00:00,[],"['64', '8']"
