number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:00:04,[],[]
2,3,08:16:55,08:18:55,['21'],[]
3,1,08:30:00,08:32:00,"['56', '36']",['21']
4,0,08:38:12,08:50:57,['41'],"['56', '36']"
5,2,09:02:22,09:12:00,['0'],['41']
6,1,09:17:32,09:19:32,"['35', '1']",['0']
7,0,09:25:44,09:32:19,"['7', '23']","['35', '1']"
8,2,09:43:44,09:45:44,[],['23']
9,3,09:51:16,09:53:16,[],['7']
10,2,09:58:48,10:32:00,"['52', '14']",[]
11,3,10:37:32,10:39:32,['45'],[]
12,4,10:48:46,11:03:09,['20'],"['52', '14', '45']"
13,0,11:29:09,19:00:00,[],['20']
