user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[29],"[3, 11]",4.0,11.75,13.08,1
1,"[19, 28]","[12, 3, 1]",22.4,23.96,27.6,2
2,"[28, 29]","[5, 3, 8]",10.1,13.32,14.07,2
3,"[18, 29]","[2, 3, 12]",14.1,20.92,24.13,2
4,[29],"[9, 10]",2.0,2.5,4.5,1
5,[18],"[3, 2]",2.0,3.46,5.46,1
6,-,-,-,-,25.51,1
7,"[29, 28]","[11, 3, 2]",23.2,14.54,18.54,2
8,[29],"[10, 3]",2.0,9.79,11.79,1
9,[19],"[7, 10]",6.0,16.9,18.06,1
10,"[18, 29]","[1, 3, 13]",25.7,23.64,27.6,2
11,"[29, 28]","[13, 3, 6]",17.5,30.41,26.38,2
12,[19],"[13, 9]",2.0,9.11,11.11,1
13,[19],"[9, 3]",2.0,7.62,9.62,1
14,"[28, 29]","[6, 3, 9]",8.0,14.22,17.32,2
15,[18],"[1, 4]",15.5,10.38,12.38,1
16,[19],"[9, 12]",2.0,9.11,11.11,1
17,[18],"[0, 1]",2.0,6.23,8.23,1
18,[29],"[7, 10]",4.9,16.92,18.06,1
19,-,-,-,-,16.84,2
20,[29],"[11, 10]",2.0,1.96,3.96,1
21,"[28, 29]","[2, 3, 7]",10.7,10.59,14.59,2
22,[19],"[0, 8]",2.0,12.48,14.48,1
23,"[28, 19]","[6, 3, 10]",22.3,16.72,19.5,2
24,"[28, 29]","[2, 3, 9]",21.8,11.08,15.08,2
25,[29],"[10, 9]",2.0,2.5,4.5,1
26,-,-,-,-,27.6,2
27,"[28, 29]","[3, 0, 7]",10.8,12.78,9.13,1
28,[29],"[10, 11]",2.0,1.96,3.96,1
29,"[28, 19]","[4, 3, 7]",16.9,10.59,14.59,2
30,[19],"[12, 13]",2.0,2.77,4.77,1
31,[29],"[12, 8]",2.0,12.54,14.54,1
32,[19],"[11, 13]",6.7,8.48,7.71,1
33,"[19, 28]","[9, 3, 5]",4.0,13.53,17.53,2
34,[28],"[4, 2]",4.0,6.92,8.92,1
35,"[28, 29]","[2, 3, 11]",16.9,14.54,18.54,2
36,"[19, 18]","[12, 3, 0]",6.0,26.04,25.51,1
37,[29],"[7, 8]",4.0,11.28,12.95,1
38,"[28, 19]","[4, 3, 9]",21.8,11.08,15.08,2
39,"[28, 29]","[4, 3, 7]",21.6,10.59,14.59,2
40,-,-,-,-,18.54,2
41,[18],"[2, 6]",8.9,12.84,9.36,1
42,[19],"[13, 11]",2.0,5.71,7.71,1
43,"[28, 19]","[1, 3, 8]",4.0,11.08,15.08,2
44,"[18, 19]","[4, 3, 12]",20.8,20.25,24.13,2
45,"[18, 29]","[2, 0, 7]",19.9,10.59,14.59,2
46,[28],"[3, 5]",2.0,5.92,7.92,1
47,-,-,-,-,24.13,2
48,[29],"[13, 12]",2.0,2.77,4.77,1
49,"[28, 29]","[5, 3, 0]",4.0,15.23,16.82,1
50,[19],"[7, 3]",2.0,7.13,9.13,1
51,"[29, 18]","[10, 3, 6]",23.5,15.5,19.5,2
52,"[18, 19]","[5, 3, 11]",20.7,20.25,20.99,2
53,"[28, 19]","[0, 3, 8]",6.0,17.31,14.48,1
54,[19],"[13, 10]",4.0,9.69,9.46,1
55,-,-,-,-,26.38,2
56,[19],"[9, 3]",4.0,7.62,9.62,1
57,[19],"[9, 10]",2.0,2.5,4.5,1
58,"[28, 29]","[5, 3, 8]",4.0,10.07,14.07,2
59,[29],"[9, 11]",12.2,4.45,5.46,1
60,"[19, 18]","[8, 3, 1]",4.0,11.08,15.08,2
61,[29],"[12, 3]",4.0,16.71,18.67,1
62,[29],"[0, 13]",12.0,30.14,26.31,1
63,"[19, 18]","[0, 3, 1]",4.0,16.24,8.23,1
64,"[29, 28]","[0, 3, 6]",13.4,17.2,16.41,1
65,"[28, 19]","[6, 3, 7]",18.9,16.5,16.84,2
66,[19],"[10, 12]",10.0,7.67,8.92,1
67,[19],"[9, 0]",2.0,15.48,17.48,1
68,"[18, 29]","[2, 3, 7]",21.6,10.59,14.59,2
69,[28],"[1, 2]",2.0,3.46,5.46,1
70,-,-,-,-,24.13,2
71,-,-,-,-,18.54,2
72,"[28, 19]","[4, 3, 12]",10.9,20.18,24.13,2
73,[18],"[1, 6]",10.5,12.63,11.98,1
74,[18],"[2, 3]",2.0,3.46,5.46,1
75,"[18, 19]","[2, 3, 9]",5.1,11.08,15.08,2
76,"[28, 29]","[4, 3, 12]",8.0,20.25,24.13,2
77,"[19, 28]","[13, 3, 4]",10.9,20.18,24.13,2
78,"[29, 28]","[8, 3, 5]",21.4,10.07,14.07,2
79,[18],"[1, 3]",11.8,6.92,8.92,1
80,"[29, 18]","[12, 3, 5]",18.4,25.84,26.59,2
81,[29],"[7, 3]",2.0,7.13,9.13,1
82,"[28, 29]","[4, 3, 10]",14.2,13.57,17.25,2
83,"[28, 19]","[6, 3, 12]",6.0,22.43,26.38,2
84,"[19, 28]","[13, 3, 4]",24.8,20.25,24.13,2
85,"[29, 28]","[8, 0, 2]",6.0,21.54,11.62,2
86,[18],"[0, 4]",6.3,12.78,14.11,1
87,"[29, 28]","[7, 0, 4]",6.0,17.51,14.59,2
88,[28],"[5, 3]",7.1,9.17,7.92,1
89,-,-,-,-,9.46,1
90,"[19, 28]","[11, 3, 6]",6.5,17.68,20.79,2
91,[28],"[6, 2]",4.0,9.17,9.36,1
92,[28],"[0, 3]",4.0,13.15,11.31,1
93,"[28, 19]","[4, 3, 12]",10.9,20.18,24.13,2
94,[19],"[8, 9]",2.0,3.46,5.46,1
95,[19],"[7, 10]",6.0,16.9,18.06,1
96,-,-,-,-,26.38,2
97,"[29, 28]","[7, 0, 5]",8.0,23.22,17.04,2
98,[29],"[11, 9]",2.0,3.46,5.46,1
99,[28],"[6, 3]",4.0,6.61,7.71,1
