number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:20:35,[],[]
2,6,08:34:59,08:37:00,['14'],[]
3,3,08:42:42,08:44:42,[],['14']
4,1,08:51:37,09:17:00,['69'],[]
5,2,09:20:27,09:27:00,"['67', '9']",[]
6,3,09:30:27,09:46:36,['21'],"['69', '67', '9']"
7,2,09:50:03,10:07:59,[],['21']
8,1,10:11:26,10:22:00,['53'],[]
9,3,10:28:55,10:30:55,['32'],[]
10,4,10:34:22,10:37:09,['48'],"['53', '32']"
11,2,10:44:04,10:46:04,[],['48']
12,1,10:49:31,10:51:32,['30'],[]
13,2,10:54:59,10:57:00,['63'],[]
14,3,11:00:27,11:25:40,['39'],"['30', '63']"
15,2,11:29:07,11:31:08,[],['39']
16,1,11:34:35,11:37:00,['37'],[]
17,0,11:43:13,11:45:13,[],['37']
18,1,11:51:26,12:02:00,"['44', '54']",[]
19,0,12:08:13,12:22:00,['12'],"['44', '54']"
20,2,12:29:07,12:32:00,['61'],[]
21,3,12:35:27,12:41:58,['64'],"['12', '61']"
22,5,12:47:52,13:07:00,['5'],['64']
23,3,13:12:54,13:29:54,[],['5']
24,4,13:33:21,13:47:00,['42'],[]
25,3,13:50:27,13:52:27,[],['42']
26,6,13:58:09,14:02:00,['68'],[]
27,4,14:07:54,14:09:54,[],['68']
28,0,14:22:00,19:00:00,[],[]
