number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:04:20,[],[]
2,17,08:19:59,08:22:00,"['6', '20']",[]
3,4,08:26:53,08:28:53,[],['6']
4,14,08:36:46,09:22:00,['12'],['20']
5,19,09:37:28,09:39:28,['17'],['12']
6,4,09:48:42,09:50:43,"['0', '13']",['17']
7,16,09:54:26,09:56:26,[],['13']
8,14,10:00:51,10:42:00,['2'],['0']
9,0,10:47:32,11:32:27,['10'],['2']
10,14,11:37:59,11:41:52,[],['10']
11,15,11:45:19,15:52:00,['21'],[]
12,18,16:07:17,16:09:17,[],['21']
13,4,16:18:17,17:11:33,['19'],[]
14,17,17:16:26,17:33:40,[],['19']
15,0,17:49:19,19:00:00,[],[]
