user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[29],"[8, 10]",2.0,5.71,7.71,1
1,-,-,-,-,22.37,1
2,[14],"[0, 14]",2.0,5.54,7.54,1
3,"[19, 28]","[9, 3, 1]",23.2,14.54,18.54,2
4,"[14, 28, 29]","[19, 4, 3, 12]",28.7,29.48,35.37,3
5,[24],"[19, 17]",2.0,4.99,6.99,1
6,"[19, 18]","[9, 3, 5]",19.5,16.79,17.53,2
7,[18],"[3, 1]",2.0,6.92,8.92,1
8,[29],"[10, 12]",2.0,6.92,8.92,1
9,[14],"[14, 20]",4.0,21.81,22.37,1
10,"[14, 29]","[14, 0, 11]",5.4,24.18,28.18,2
11,[28],"[0, 1]",2.0,6.23,8.23,1
12,[18],"[3, 5]",4.0,9.17,7.92,1
13,[28],"[3, 6]",2.0,5.71,7.71,1
14,"[28, 14]","[3, 4, 14]",10.6,11.62,15.36,2
15,"[19, 18, 24]","[8, 3, 4, 17]",25.2,12.51,18.51,3
16,"[29, 18]","[13, 3, 5]",7.6,22.64,26.59,2
17,"[28, 24]","[6, 4, 17]",21.7,10.81,14.81,2
18,"[28, 29]","[4, 3, 13]",18.0,23.02,24.13,2
19,"[24, 18, 19]","[15, 4, 3, 11]",27.6,20.92,26.92,3
20,[24],"[17, 14]",11.4,14.74,14.38,1
21,[19],"[13, 12]",2.0,2.77,4.77,1
22,"[19, 28]","[9, 3, 6]",9.8,13.32,17.32,2
23,"[29, 28]","[11, 3, 5]",24.0,16.99,20.99,2
24,"[18, 24]","[5, 4, 14]",20.9,15.55,17.6,2
25,"[18, 24]","[0, 4, 17]",17.6,18.95,17.67,1
26,[14],"[0, 4]",4.0,13.43,14.11,1
27,"[29, 28, 24]","[10, 3, 4, 17]",25.8,18.15,24.15,3
28,"[28, 29]","[1, 3, 13]",20.9,26.41,27.6,2
29,[28],"[4, 6]",2.0,5.92,7.92,1
30,"[14, 18]","[20, 4, 3]",4.0,17.38,21.38,2
31,[19],"[8, 9]",2.0,3.46,5.46,1
32,"[24, 28, 29]","[15, 4, 3, 12]",28.1,26.63,32.52,3
33,[19],"[7, 9]",4.0,14.74,16.27,1
34,"[28, 14]","[5, 4, 20]",24.6,19.84,23.62,2
35,[24],"[16, 15]",2.0,2.77,4.77,1
36,"[29, 28, 14]","[11, 3, 4, 17]",22.7,19.43,25.43,3
37,[19],"[9, 13]",2.0,9.11,11.11,1
38,"[18, 14]","[3, 4, 16]",19.9,7.19,11.19,2
39,[14],"[16, 18]",2.0,12.54,14.54,1
40,[24],"[14, 19]",11.9,17.78,17.48,1
41,[19],"[12, 10]",2.0,6.92,8.92,1
42,[19],"[3, 9]",2.0,7.62,9.62,1
43,-,-,-,-,16.88,2
44,"[24, 18]","[18, 4, 3]",20.3,12.46,16.46,2
45,[29],"[3, 13]",16.9,19.48,18.67,1
46,"[14, 29]","[17, 0, 7]",14.4,19.13,21.48,3
47,"[18, 24]","[3, 4, 15]",8.0,9.84,13.84,2
48,[29],"[10, 3]",2.0,9.79,11.79,1
49,"[28, 29]","[3, 0, 7]",7.0,16.62,9.13,1
50,[29],"[9, 7]",4.0,14.74,16.27,1
51,"[19, 28, 24]","[12, 3, 4, 18]",28.1,29.18,35.13,3
52,[18],"[1, 3]",2.0,6.92,8.92,1
53,[24],"[4, 20]",2.0,13.92,15.92,1
54,[19],"[10, 9]",2.0,2.5,4.5,1
55,[24],"[20, 17]",2.0,9.24,11.24,1
56,"[18, 29]","[2, 3, 0]",4.0,12.78,9.13,1
57,"[18, 24]","[2, 4, 20]",21.4,21.71,24.84,2
58,"[24, 28, 19]","[17, 4, 3, 13]",26.6,25.03,31.03,3
59,"[28, 14]","[2, 4, 16]",14.6,10.65,14.65,2
