number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:32:52,[],[]
2,2,08:39:59,08:42:00,['74'],[]
3,1,08:45:27,09:47:00,['34'],['74']
4,4,09:57:23,10:12:43,['20'],['34']
5,3,10:16:10,10:33:09,"['84', '72', '70']",['20']
6,4,10:36:36,10:51:06,"['0', '89']","['84', '70', '72']"
7,6,10:57:00,11:33:37,['12'],"['0', '89']"
8,5,11:34:18,11:47:00,"['22', '40', '44']",[]
9,4,11:52:42,11:57:07,"['51', '60']","['22', '12', '40']"
10,3,12:00:34,12:02:35,[],"['51', '60']"
11,1,12:09:30,13:17:00,['38'],['44']
12,2,13:20:27,13:22:27,['16'],[]
13,3,13:25:54,13:27:55,['64'],['38']
14,4,13:31:22,13:39:50,[],"['64', '16']"
15,0,13:51:56,19:00:00,[],[]
