user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[24, 28]","[0, 4, 6]",4.0,18.03,16.41,1
1,-,-,-,-,20.79,2
2,-,-,-,-,13.44,2
3,-,-,-,-,19.31,1
4,-,-,-,-,16.09,2
5,-,-,-,-,18.86,1
6,-,-,-,-,11.42,1
7,[19],"[11, 0]",2.0,18.64,20.64,1
8,-,-,-,-,26.59,2
9,-,-,-,-,31.03,3
10,-,-,-,-,28.3,2
11,-,-,-,-,9.83,1
12,"[28, 24]","[6, 4, 19]",22.3,16.29,19.15,2
13,-,-,-,-,29.86,3
14,-,-,-,-,14.59,2
15,[19],"[8, 11]",2.0,6.92,8.92,1
16,"[28, 24]","[2, 4, 16]",12.4,10.65,14.65,2
17,-,-,-,-,31.03,3
18,-,-,-,-,24.0,1
19,-,-,-,-,19.71,2
20,"[14, 28]","[14, 4, 3]",14.5,11.62,15.36,2
21,-,-,-,-,24.84,2
22,"[28, 24]","[5, 4, 17]",7.6,10.6,14.6,2
23,-,-,-,-,31.03,3
24,-,-,-,-,26.38,2
25,-,-,-,-,27.53,3
26,[24],"[16, 14]",2.0,4.43,6.43,1
27,-,-,-,-,25.51,1
28,-,-,-,-,15.08,2
29,-,-,-,-,25.64,3
30,-,-,-,-,33.85,2
31,-,-,-,-,16.46,2
32,-,-,-,-,20.43,1
33,"[18, 14]","[1, 0, 16]",20.9,16.2,18.11,2
34,"[28, 14]","[1, 4, 17]",17.3,15.28,19.28,2
35,-,-,-,-,26.31,1
36,-,-,-,-,7.92,1
37,[19],"[10, 13]",2.0,7.46,9.46,1
38,"[28, 19]","[1, 3, 8]",6.0,11.08,15.08,2
39,-,-,-,-,11.62,2
40,"[28, 14]","[5, 4, 16]",6.4,9.44,13.44,2
41,-,-,-,-,23.83,2
42,-,-,-,-,31.03,3
43,-,-,-,-,7.71,1
44,[28],"[5, 1]",8.4,16.09,12.57,1
45,-,-,-,-,24.13,2
46,[14],"[17, 18]",2.0,4.21,6.21,1
47,-,-,-,-,12.57,1
48,-,-,-,-,31.03,3
49,-,-,-,-,27.6,2
50,[19],"[13, 12]",2.0,2.77,4.77,1
51,"[14, 28, 19]","[17, 4, 3, 8]",23.3,12.51,18.51,3
52,-,-,-,-,26.59,2
53,-,-,-,-,12.95,1
54,-,-,-,-,17.48,1
55,-,-,-,-,35.37,3
56,[24],"[14, 15]",2.0,3.46,5.46,1
57,-,-,-,-,26.38,2
58,-,-,-,-,26.59,2
59,-,-,-,-,11.62,2
60,"[14, 28, 19]","[18, 4, 3, 9]",27.3,20.18,26.08,3
61,-,-,-,-,17.48,1
62,[18],"[1, 0]",2.0,6.23,8.23,1
63,-,-,-,-,19.71,2
64,"[19, 28, 24]","[10, 3, 4, 16]",26.6,16.98,22.98,3
65,-,-,-,-,27.6,2
66,-,-,-,-,28.49,3
67,-,-,-,-,14.6,2
68,-,-,-,-,19.35,1
69,-,-,-,-,35.37,3
70,"[19, 28, 14]","[8, 3, 4, 17]",17.3,12.51,18.51,3
71,[29],"[0, 7]",2.0,3.46,5.46,1
72,"[19, 28, 14]","[10, 3, 4, 20]",25.6,27.47,33.17,3
73,-,-,-,-,35.37,3
74,[28],"[2, 1]",2.0,3.46,5.46,1
75,-,-,-,-,35.37,3
76,-,-,-,-,24.13,2
77,-,-,-,-,18.92,2
78,-,-,-,-,17.34,3
79,-,-,-,-,26.31,3
80,[24],"[4, 17]",2.0,4.9,6.9,1
81,"[14, 18]","[14, 0, 1]",4.0,11.77,15.77,2
82,-,-,-,-,7.92,1
83,-,-,-,-,20.79,2
84,"[19, 28, 24]","[12, 3, 4, 16]",28.2,23.98,29.86,3
85,[29],"[7, 0]",2.0,3.46,5.46,1
86,[14],"[16, 19]",6.0,13.62,14.48,1
87,[14],"[20, 14]",15.0,22.31,22.37,1
88,-,-,-,-,28.25,3
89,"[14, 28]","[18, 4, 6]",13.4,14.92,18.92,2
