number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:32:54,"['9', '17']",[]
2,14,08:38:26,08:40:26,[],['9']
3,15,08:43:53,08:45:53,[],['17']
4,20,09:05:57,09:07:58,['15'],[]
5,4,09:21:52,09:23:53,['10'],['15']
6,19,09:33:07,09:39:50,['0'],['10']
7,0,09:57:10,10:12:25,['26'],['0']
8,16,10:21:49,10:27:41,[],['26']
9,20,10:44:59,10:47:00,['27'],[]
10,4,11:00:54,11:28:34,"['14', '20']",['27']
11,19,11:37:48,11:44:50,[],['14']
12,20,11:49:43,11:52:16,[],['20']
13,0,12:14:16,19:00:00,[],[]
