user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[28],"[6, 4]",5.0,6.4,7.92,1
1,[29],"[10, 12]",2.0,6.92,8.92,1
2,"[14, 28, 29]","[19, 4, 3, 10]",24.6,24.65,28.49,3
3,"[28, 19]","[2, 3, 8]",14.2,7.62,11.62,2
4,"[29, 18]","[9, 3, 4]",4.0,11.08,15.08,2
5,-,-,-,-,27.6,2
6,"[29, 18, 24]","[11, 3, 4, 17]",10.9,19.43,25.43,3
7,"[28, 14]","[6, 4, 20]",24.4,20.32,23.83,2
8,"[24, 18]","[14, 4, 5]",18.8,13.87,17.6,2
9,"[24, 18]","[18, 4, 1]",6.0,19.49,23.38,2
10,"[19, 18, 24]","[12, 3, 4, 16]",11.5,23.86,29.86,3
11,[24],"[17, 18]",2.0,4.21,6.21,1
12,"[29, 18, 24]","[10, 3, 4, 14]",21.9,23.21,26.4,2
13,[24],"[18, 4]",2.0,9.0,11.0,1
14,"[18, 24]","[1, 4, 14]",15.6,18.28,15.77,2
15,[19],"[13, 7]",6.9,26.57,25.35,1
16,[24],"[19, 14]",6.0,18.97,17.48,1
17,-,-,-,-,16.88,2
18,[24],"[14, 17]",18.8,13.06,14.38,1
19,-,-,-,-,16.84,2
20,[14],"[15, 20]",4.0,20.3,22.08,1
21,"[18, 29]","[0, 3, 9]",9.0,16.93,17.48,1
22,-,-,-,-,24.84,2
23,[19],"[12, 10]",2.0,6.92,8.92,1
24,"[29, 18, 24]","[10, 3, 4, 16]",17.9,16.98,22.98,3
25,[29],"[10, 0]",11.5,19.43,18.86,1
26,[24],"[17, 15]",6.0,11.39,13.27,1
27,"[28, 14]","[6, 4, 16]",9.6,10.13,13.64,2
28,"[29, 28]","[12, 3, 0]",14.0,29.87,25.51,1
29,"[18, 29]","[4, 3, 13]",24.9,20.15,24.13,2
30,"[19, 18, 14]","[13, 3, 4, 17]",19.5,27.8,31.03,3
31,[29],"[3, 8]",2.0,4.15,6.15,1
32,[14],"[20, 18]",4.0,6.97,7.04,1
33,-,-,-,-,33.85,2
34,[19],"[9, 11]",2.0,3.46,5.46,1
35,"[24, 18, 19]","[20, 4, 3, 12]",23.8,36.22,40.05,3
36,[28],"[1, 5]",16.2,12.84,12.57,1
37,[19],"[8, 10]",2.0,5.71,7.71,1
38,[28],"[5, 2]",12.2,12.63,9.83,1
39,"[29, 28]","[13, 3, 1]",10.0,26.41,27.6,2
40,"[19, 18, 14]","[12, 3, 4, 19]",21.2,31.32,35.37,3
41,"[14, 28, 29]","[20, 4, 3, 10]",26.6,29.55,33.17,3
42,"[14, 28, 19]","[17, 4, 3, 12]",28.5,25.14,31.03,3
43,-,-,-,-,35.37,3
44,[14],"[16, 18]",15.6,12.83,14.54,1
45,"[19, 18]","[8, 3, 0]",18.6,13.47,14.48,1
46,[28],"[5, 3]",12.3,9.17,7.92,1
47,[28],"[1, 2]",2.0,3.46,5.46,1
48,"[24, 18, 29]","[16, 4, 3, 13]",8.0,23.88,29.86,3
49,[14],"[20, 4]",2.0,13.92,15.92,1
