number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:08:44,[],[]
2,4,08:21:39,08:23:39,['82'],[]
3,13,08:46:08,08:48:08,[],['82']
4,14,08:51:50,09:00:14,['29'],[]
5,0,09:08:10,09:10:10,[],['29']
6,13,09:21:19,09:23:19,['60'],[]
7,11,09:35:00,09:37:00,['38'],[]
8,4,09:47:48,09:54:17,"['61', '54']","['38', '60']"
9,10,10:00:12,10:02:12,[],['61']
10,8,10:12:31,10:44:09,['72'],['54']
11,9,10:54:55,10:56:55,[],['72']
12,11,11:00:43,11:32:00,['65'],[]
13,13,11:43:41,11:51:02,['83'],['65']
14,14,11:54:44,11:58:14,[],['83']
15,0,12:06:10,12:32:00,['6'],[]
16,13,12:43:09,12:45:09,['68'],[]
17,12,12:51:52,13:05:51,[],['6']
18,9,13:11:41,13:13:41,[],['68']
19,10,13:19:36,13:26:39,['75'],[]
20,12,13:36:58,13:38:58,['26'],[]
21,0,13:52:49,13:54:49,['41'],"['26', '75']"
22,9,14:14:17,14:16:17,[],['41']
23,8,14:27:03,14:44:14,['73'],[]
24,9,14:55:00,14:57:00,['87'],['73']
25,0,15:16:28,15:20:23,['40'],['87']
26,13,15:31:32,15:33:32,['78'],[]
27,12,15:40:15,15:42:15,['5'],[]
28,4,15:58:01,16:01:42,[],"['40', '5']"
29,8,16:14:37,16:16:37,[],['78']
30,10,16:26:56,16:29:09,['25'],[]
31,9,16:35:04,16:37:04,['2'],[]
32,8,16:47:50,16:49:50,['11'],"['25', '2']"
33,13,17:11:46,17:13:46,['16'],['11']
34,8,17:35:42,19:00:00,[],['16']
