number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:20:09,['55'],[]
2,1,08:26:21,08:28:21,[],['55']
3,2,08:33:53,09:12:00,['59'],[]
4,4,09:26:46,09:33:16,[],['59']
5,1,09:53:34,10:42:00,['22'],[]
6,0,10:48:12,10:50:12,['28'],['22']
7,4,11:16:12,11:20:55,['47'],['28']
8,2,11:35:41,11:37:41,[],['47']
9,0,11:49:06,12:51:46,"['63', '48', '13']",[]
10,4,13:17:46,13:19:46,[],"['13', '48', '63']"
11,3,13:29:00,13:47:00,['42'],[]
12,4,13:56:14,14:00:49,"['6', '19']",['42']
13,3,14:10:03,14:12:37,[],['19']
14,0,14:29:28,19:00:00,[],['6']
