user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[20, 21]","[13, 0, 2]",26.0,22.57,26.57,2
1,"[30, 14]","[18, 21, 22]",9.3,14.77,18.77,2
2,"[14, 30]","[25, 21, 17]",16.4,25.75,28.58,3
3,"[30, 20, 110]","[16, 0, 8, 5]",15.8,48.2,42.17,3
4,-,-,-,-,47.27,3
5,"[120, 21, 10]","[13, 0, 4, 6]",6.0,45.85,33.15,2
6,[30],"[15, 19]",4.0,12.2,13.57,1
7,"[130, 21]","[16, 0, 4]",10.2,32.65,36.47,2
8,"[10, 20, 130]","[6, 8, 0, 21]",8.0,57.78,48.87,3
9,"[20, 30]","[11, 0, 16]",23.9,25.28,27.43,2
10,"[130, 21, 110]","[20, 0, 4, 6]",15.2,51.93,54.57,4
11,"[10, 120]","[4, 8, 12]",7.3,29.43,17.77,1
12,[110],"[5, 6]",2.0,5.92,7.92,1
13,"[120, 114]","[4, 13, 22]",23.4,32.8,36.8,2
14,[14],"[24, 13]",2.0,7.03,9.03,1
15,"[114, 120, 110]","[22, 13, 4, 6]",24.7,42.4,45.47,3
16,"[114, 120, 121]","[25, 13, 0, 3]",29.6,31.35,36.92,3
17,"[14, 130]","[23, 21, 16]",4.9,28.38,30.27,3
18,[120],"[9, 13]",2.0,12.0,14.0,1
19,"[30, 21]","[15, 0, 1]",4.0,8.97,12.97,2
20,"[130, 114]","[20, 21, 23]",4.0,18.02,22.03,2
21,"[110, 21]","[8, 4, 3]",9.2,22.15,26.15,2
22,"[110, 21, 130]","[6, 4, 0, 20]",15.0,51.53,54.57,4
23,"[130, 14]","[15, 21, 24]",13.6,35.35,26.95,3
24,"[30, 14]","[18, 21, 24]",24.7,27.07,31.07,2
25,"[21, 30, 14]","[1, 0, 21, 22]",11.9,31.88,33.67,3
26,"[20, 110]","[10, 4, 7]",18.7,17.07,19.7,2
27,[20],"[0, 12]",2.0,13.85,15.85,1
28,[114],"[13, 23]",2.0,6.65,8.65,1
29,"[120, 114]","[0, 13, 25]",14.8,14.07,18.07,2
30,"[30, 120, 110]","[17, 0, 4, 5]",15.0,45.83,44.22,3
31,"[130, 20]","[15, 0, 10]",10.2,24.97,28.97,2
32,"[21, 10]","[0, 4, 6]",4.0,34.7,38.7,2
33,[110],"[4, 8]",16.1,16.82,14.92,1
34,[130],"[20, 17]",2.0,9.23,11.23,1
35,"[21, 20]","[1, 0, 10]",4.0,28.38,30.22,2
36,[114],"[24, 13]",4.0,8.45,9.03,1
37,"[30, 21]","[17, 0, 1]",17.4,15.62,18.72,2
38,"[21, 30]","[1, 0, 19]",4.0,20.25,24.27,2
39,"[121, 110]","[2, 4, 8]",11.8,31.3,31.68,2
40,-,-,-,-,45.9,3
41,"[20, 114]","[11, 13, 22]",4.0,22.0,26.0,2
42,[130],"[20, 16]",2.0,10.77,12.77,1
43,"[30, 120]","[19, 0, 11]",10.6,37.8,35.03,2
44,-,-,-,-,17.75,2
45,"[20, 30]","[12, 0, 19]",23.9,28.82,31.92,2
46,[20],"[11, 12]",2.0,4.97,6.97,1
47,[20],"[10, 9]",2.0,5.92,7.92,1
48,"[120, 121]","[12, 0, 1]",11.1,24.07,24.05,2
49,-,-,-,-,27.12,3
50,"[114, 120, 10]","[21, 13, 8, 7]",24.3,41.05,47.03,3
51,"[10, 20]","[7, 8, 10]",4.0,15.7,19.7,2
52,[20],"[14, 9]",4.0,12.55,14.55,1
53,[130],"[0, 15]",2.0,2.77,4.77,1
54,[14],"[24, 22]",2.0,12.82,14.82,1
55,[130],"[0, 15]",2.0,2.77,4.77,1
56,"[120, 114]","[10, 13, 21]",27.0,30.75,34.73,2
57,"[130, 20]","[16, 0, 12]",8.0,21.12,24.32,2
58,"[10, 120, 14]","[7, 4, 13, 21]",24.7,47.35,47.03,3
59,-,-,-,-,35.1,3
60,-,-,-,-,41.02,2
61,"[130, 21, 10]","[17, 0, 4, 7]",24.9,45.98,50.13,3
62,"[14, 130]","[13, 21, 20]",4.0,17.42,21.42,2
63,"[130, 114, 120]","[18, 21, 13, 8]",25.9,44.9,45.8,2
64,"[30, 120, 110]","[17, 0, 4, 5]",15.0,45.83,44.22,3
65,"[114, 120, 130]","[23, 13, 0, 15]",18.9,26.3,26.57,3
66,[30],"[0, 15]",2.0,2.77,4.77,1
67,"[10, 20]","[6, 8, 12]",10.0,28.98,27.73,2
68,"[114, 120, 10]","[21, 13, 8, 7]",24.3,41.05,47.03,3
69,"[30, 121, 110]","[19, 0, 4, 8]",16.3,56.78,48.12,3
70,-,-,-,-,24.03,2
71,-,-,-,-,29.0,2
72,"[110, 121]","[5, 4, 3]",23.0,12.92,16.93,2
73,"[114, 120, 21]","[22, 13, 0, 1]",29.0,27.67,33.67,3
74,[20],"[10, 4]",2.0,5.92,7.92,1
75,"[20, 130]","[13, 0, 18]",23.8,23.15,26.72,2
76,[120],"[4, 10]",2.0,5.92,7.92,1
77,-,-,-,-,34.73,2
78,-,-,-,-,18.02,2
79,[120],"[12, 13]",2.0,6.72,8.72,1
