number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:20:14,['20'],[]
2,9,08:31:00,08:33:00,['22'],[]
3,13,08:45:00,08:47:00,['35'],[]
4,0,08:58:09,09:00:09,"['29', '15', '19']","['22', '35', '20']"
5,12,09:14:00,09:16:00,[],['29']
6,11,09:20:58,09:22:58,[],['15']
7,10,09:28:30,09:45:21,[],['19']
8,8,09:55:40,10:22:00,['16'],[]
9,4,10:34:55,10:43:14,"['32', '36']",['16']
10,9,10:55:03,10:57:03,['14'],['36']
11,8,11:07:49,11:09:49,[],"['32', '14']"
12,4,11:22:44,11:40:00,"['6', '1']",[]
13,10,11:45:55,11:54:13,[],['6']
14,8,12:04:32,19:00:00,[],['1']
