user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[114, 120]","[24, 13, 9]",15.7,22.52,23.03,2
1,"[114, 20, 21]","[24, 13, 0, 1]",20.3,24.38,30.38,3
2,"[110, 121, 30]","[8, 4, 0, 19]",20.1,52.98,48.12,3
3,[120],"[14, 11]",4.0,15.37,13.08,1
4,-,-,-,-,36.8,2
5,"[130, 21]","[15, 0, 2]",6.0,14.5,18.18,2
6,"[120, 110]","[9, 8, 6]",11.4,17.97,21.98,2
7,-,-,-,-,41.03,3
8,"[121, 110]","[3, 4, 8]",4.0,22.15,26.15,2
9,[20],"[11, 10]",2.0,5.53,7.53,1
10,"[130, 21]","[20, 0, 1]",8.5,22.83,26.83,2
11,-,-,-,-,16.77,1
12,-,-,-,-,41.02,2
13,[114],"[24, 22]",2.0,12.82,14.82,1
14,"[130, 21, 10]","[16, 0, 4, 6]",16.6,41.67,47.17,3
15,[121],"[0, 1]",2.0,6.2,8.2,1
16,-,-,-,-,31.07,2
17,-,-,-,-,28.85,2
18,"[10, 21]","[5, 4, 1]",26.0,24.0,28.0,2
19,"[21, 120]","[1, 4, 11]",4.0,31.12,27.17,2
20,"[130, 21]","[21, 0, 4]",12.5,46.83,40.2,2
21,"[110, 121]","[6, 4, 2]",11.8,24.37,27.47,2
22,"[114, 130]","[23, 21, 16]",19.1,28.38,30.27,3
23,"[120, 21]","[13, 0, 1]",6.0,17.83,21.35,2
24,[14],"[22, 25]",2.0,8.52,10.52,1
25,[120],"[14, 9]",4.0,14.88,14.55,1
26,"[20, 21]","[13, 0, 4]",6.0,37.65,24.48,1
27,[21],"[3, 0]",6.0,17.27,18.85,1
28,-,-,-,-,28.78,2
29,"[20, 121]","[13, 0, 1]",24.0,17.35,21.35,2
30,-,-,-,-,40.27,2
31,[21],"[2, 1]",2.0,5.53,7.53,1
32,[130],"[17, 21]",2.0,12.92,14.92,1
33,"[21, 120]","[1, 0, 8]",12.0,44.07,37.22,2
34,-,-,-,-,20.15,2
35,[30],"[16, 21]",4.0,14.97,16.07,1
36,"[14, 20]","[24, 13, 12]",14.3,13.75,17.75,2
37,"[130, 121]","[15, 0, 2]",7.4,14.5,18.18,2
38,"[30, 121]","[15, 0, 1]",4.0,8.97,12.97,2
39,"[120, 14]","[4, 13, 23]",25.3,29.13,33.13,2
40,[20],"[9, 0]",18.3,23.15,21.47,1
41,"[30, 121, 110]","[17, 0, 4, 5]",24.2,39.62,44.22,3
42,-,-,-,-,39.65,2
43,[30],"[19, 0]",2.0,14.07,16.07,1
44,"[130, 120]","[18, 0, 11]",20.9,32.13,32.53,2
45,"[30, 121]","[21, 0, 2]",25.0,31.88,35.58,2
46,-,-,-,-,7.83,1
47,"[114, 20]","[22, 13, 9]",13.6,22.32,26.32,2
48,-,-,-,-,28.0,1
49,-,-,-,-,24.68,2
50,"[10, 20, 30]","[7, 4, 0, 17]",19.4,46.13,50.13,3
51,"[110, 121, 130]","[7, 4, 0, 18]",17.8,50.13,53.18,3
52,"[120, 130]","[14, 0, 20]",16.5,25.05,27.12,3
53,"[110, 121, 120]","[5, 4, 0, 14]",13.4,37.82,29.25,2
54,[30],"[19, 21]",2.0,6.47,8.47,1
55,-,-,-,-,37.53,2
56,"[10, 20, 30]","[7, 4, 0, 20]",23.4,55.37,52.73,4
57,"[20, 30]","[10, 0, 18]",17.7,44.1,37.77,2
58,"[14, 20]","[24, 13, 12]",14.3,13.75,17.75,2
59,"[30, 121]","[15, 0, 3]",6.0,20.03,23.62,2
