number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:34:12,[],[]
2,3,08:51:03,08:53:03,['46'],[]
3,2,08:58:35,09:00:35,['27'],[]
4,0,09:12:00,09:14:00,[],"['27', '46']"
5,4,09:40:00,09:42:00,['43'],[]
6,1,10:02:18,10:20:35,"['25', '40']",['43']
7,0,10:26:47,10:28:47,['12'],"['40', '25']"
8,4,10:54:47,10:56:47,[],['12']
9,3,11:06:01,11:27:00,['39'],[]
10,4,11:36:14,11:38:14,[],['39']
11,3,11:47:28,11:53:28,['19'],[]
12,4,12:02:42,12:04:42,['32'],['19']
13,1,12:25:00,12:27:00,['17'],['32']
14,4,12:47:18,12:49:18,[],['17']
15,3,12:58:32,13:08:08,['6'],[]
16,0,13:24:59,19:00:00,[],['6']
