number,stop ID,arrival time,departure time,pick up users,drop of users
1,8,07:00:00,08:16:51,[],[]
2,14,08:40:00,08:42:00,['19'],[]
3,11,08:53:05,08:57:00,['0'],['19']
4,13,09:08:41,09:11:51,['28'],[]
5,0,09:23:00,09:25:51,['10'],"['28', '0']"
6,14,09:33:47,09:35:47,['1'],[]
7,13,09:39:29,09:52:00,['22'],['10']
8,11,10:03:41,10:05:41,[],['1']
9,4,10:16:29,10:18:29,['9'],['22']
10,11,10:29:17,10:31:17,['11'],['9']
11,12,10:36:15,10:38:15,[],['11']
12,0,10:52:06,11:02:00,['13'],[]
13,10,11:24:12,11:26:12,[],['13']
14,8,11:36:31,19:00:00,[],[]
