user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,[121],"[2, 1]",2.0,5.53,7.53,1
1,"[121, 20]","[1, 0, 10]",17.2,35.03,30.22,2
2,"[21, 20]","[0, 4, 10]",11.0,31.9,24.2,1
3,"[120, 21]","[14, 0, 2]",23.6,19.37,23.35,2
4,-,-,-,-,18.52,1
5,[20],"[4, 10]",2.0,5.92,7.92,1
6,[110],"[7, 8]",2.0,5.38,7.38,1
7,-,-,-,-,25.05,2
8,"[10, 20]","[7, 8, 9]",16.5,16.15,20.15,2
9,-,-,-,-,14.0,1
10,[120],"[9, 13]",4.0,15.48,14.0,1
11,"[10, 120]","[5, 4, 12]",6.0,19.47,23.47,2
12,[110],"[4, 8]",2.0,12.92,14.92,1
13,[21],"[3, 2]",2.0,5.53,7.53,1
14,"[121, 110]","[2, 4, 5]",6.0,18.47,22.47,2
15,[110],"[6, 8]",2.0,7.22,9.22,1
16,"[10, 20]","[7, 8, 14]",23.1,32.4,32.53,2
17,"[21, 120]","[2, 4, 11]",22.2,25.57,29.57,2
18,"[21, 10]","[1, 4, 5]",9.7,24.0,28.0,2
19,[120],"[11, 0]",10.9,19.02,18.97,1
20,"[10, 121]","[5, 4, 0]",22.1,29.68,33.7,2
21,[121],"[3, 1]",2.0,11.08,13.08,1
22,-,-,-,-,37.22,2
23,"[20, 121]","[12, 0, 2]",8.6,29.77,29.27,2
24,"[20, 110]","[10, 8, 5]",6.7,19.55,13.62,2
25,[10],"[5, 4]",2.0,3.7,5.7,1
26,"[120, 10]","[9, 4, 5]",6.0,15.52,19.52,2
27,-,-,-,-,33.15,2
28,"[20, 121]","[13, 0, 2]",6.0,23.05,26.57,2
29,"[10, 21, 20]","[7, 4, 0, 14]",10.0,45.42,32.53,2
30,"[120, 10]","[13, 8, 7]",4.0,27.32,31.32,2
31,-,-,-,-,7.92,1
32,"[120, 10]","[10, 4, 6]",6.0,15.52,18.62,2
33,"[20, 10]","[9, 4, 7]",13.7,22.97,20.15,2
34,-,-,-,-,33.15,2
35,"[121, 20]","[1, 0, 11]",15.2,29.5,27.17,2
36,"[121, 120]","[1, 0, 14]",4.0,14.13,18.13,2
37,[120],"[4, 14]",4.0,21.88,23.55,1
38,-,-,-,-,26.15,2
39,"[110, 21]","[5, 4, 1]",17.3,24.0,28.0,2
40,-,-,-,-,32.53,2
41,"[120, 121]","[11, 0, 2]",7.0,34.25,29.57,2
42,[120],"[4, 11]",2.0,10.8,12.8,1
43,"[20, 110]","[10, 4, 6]",19.4,15.52,18.62,2
44,"[20, 110]","[10, 4, 7]",21.4,18.28,19.7,2
45,[121],"[3, 4]",2.0,9.23,11.23,1
46,[20],"[0, 13]",4.0,11.63,13.15,1
47,"[10, 21]","[6, 4, 0]",4.0,34.7,38.7,2
48,"[21, 120]","[2, 4, 11]",22.2,25.57,29.57,2
49,[20],"[10, 11]",2.0,5.53,7.53,1
50,"[21, 10]","[0, 4, 5]",11.7,30.2,33.7,2
51,-,-,-,-,24.48,1
52,"[121, 110]","[2, 4, 7]",12.6,27.13,29.92,2
53,-,-,-,-,38.7,2
54,[10],"[4, 8]",6.0,16.82,14.92,1
55,[10],"[6, 8]",4.2,8.15,9.22,1
56,"[121, 120]","[1, 0, 12]",6.0,20.85,24.05,2
57,-,-,-,-,8.72,1
58,[20],"[10, 11]",2.0,5.53,7.53,1
59,"[20, 10]","[10, 8, 7]",24.0,15.7,19.7,2
