number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:39:53,[],[]
2,18,08:00:00,08:02:00,['36'],[]
3,17,08:04:34,08:11:34,[],['36']
4,6,08:14:26,08:27:00,['37'],[]
5,17,08:29:52,08:31:52,[],['37']
6,19,08:35:56,08:47:00,['79'],[]
7,6,08:49:52,08:51:52,[],['79']
8,19,08:54:44,09:12:00,['40'],[]
9,6,09:14:52,09:16:52,[],['40']
10,20,09:22:37,09:32:00,['81'],[]
11,3,09:43:30,09:45:30,[],['81']
12,0,09:56:25,10:01:00,['9'],[]
13,1,10:05:38,10:21:55,['15'],[]
14,2,10:23:12,10:25:12,['23'],['15']
15,5,10:35:00,10:37:00,['49'],['9']
16,6,10:39:34,10:41:34,[],"['23', '49']"
17,19,10:44:26,10:46:26,['25'],[]
18,6,10:49:18,10:51:18,['11'],['25']
19,5,10:53:52,10:55:52,[],['11']
20,18,11:01:10,11:03:10,['80'],[]
21,6,11:06:02,11:08:02,['76'],['80']
22,19,11:10:54,11:12:54,[],['76']
23,20,11:15:46,11:17:46,['70'],[]
24,6,11:23:31,11:25:31,[],['70']
25,5,11:28:05,11:37:00,['57'],[]
26,19,11:41:38,11:43:38,[],['57']
27,6,11:46:30,12:10:49,"['67', '1']",[]
28,17,12:13:41,12:15:41,[],['1']
29,18,12:18:15,12:22:00,['53'],['67']
30,5,12:27:18,14:04:48,"['58', '34']",['53']
31,6,14:07:22,14:17:37,['48'],"['58', '34']"
32,20,14:23:22,14:25:22,[],['48']
33,18,14:29:13,14:31:13,['77'],[]
34,6,14:34:05,14:36:05,[],['77']
35,5,14:38:39,14:42:00,['35'],[]
36,6,14:44:34,14:52:34,['31'],['35']
37,18,14:55:26,14:57:26,[],['31']
38,17,15:00:00,15:02:00,['43'],[]
39,6,15:04:52,15:24:50,['56'],['43']
40,2,15:37:02,15:49:33,[],['56']
41,0,15:55:00,15:57:00,['4'],[]
42,5,16:12:00,16:14:00,[],['4']
43,6,16:16:34,16:21:48,"['84', '7']",[]
44,5,16:24:22,16:26:22,[],['84']
45,3,16:31:31,16:34:06,[],['7']
46,18,16:44:28,16:57:00,['62'],[]
47,6,16:59:52,17:23:38,['13'],['62']
48,17,17:26:30,17:28:30,[],['13']
49,0,17:47:37,19:00:00,[],[]
