number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,09:01:18,"['82', '71']",[]
2,2,09:06:45,09:11:51,[],['82']
3,4,09:20:28,09:22:28,['45'],[]
4,5,09:23:45,09:29:06,['65'],[]
5,6,09:31:40,09:33:40,['39'],"['65', '45']"
6,17,09:36:32,09:38:32,[],['39']
7,18,09:41:06,09:43:25,[],['71']
8,6,09:46:17,09:50:49,['68'],[]
9,17,09:53:41,09:55:41,[],['68']
10,3,10:06:03,10:10:52,['64'],[]
11,6,10:18:35,10:26:39,['66'],['64']
12,4,10:30:30,10:34:45,[],['66']
13,19,10:40:30,10:44:07,['25'],[]
14,6,10:46:59,10:48:59,['32'],['25']
15,0,11:06:14,11:08:14,[],['32']
16,2,11:13:41,11:23:06,['19'],[]
17,4,11:31:43,11:33:43,[],['19']
18,5,11:35:00,11:37:00,['57'],[]
19,19,11:41:38,11:43:38,[],['57']
20,20,11:46:30,12:57:00,"['74', '12']",[]
21,17,13:03:26,13:05:26,[],['74']
22,6,13:08:18,13:17:00,[],['12']
23,5,13:19:34,14:07:00,"['58', '34']",[]
24,6,14:09:34,14:14:06,['48'],"['58', '34']"
25,20,14:19:51,14:21:51,[],['48']
26,18,14:25:42,14:27:42,['77'],[]
27,6,14:30:34,14:32:34,['29'],['77']
28,2,14:44:46,14:46:46,[],['29']
29,3,14:52:13,15:32:00,['30'],[]
30,5,15:37:09,15:39:41,['22'],[]
31,6,15:42:15,15:44:15,[],"['22', '30']"
32,20,15:50:00,15:52:00,['73'],[]
33,6,15:57:45,16:02:43,['78'],['73']
34,18,16:05:35,16:07:35,[],['78']
35,19,16:09:24,16:42:00,['83'],[]
36,18,16:43:49,16:50:22,['24'],[]
37,6,16:53:14,17:00:23,['44'],['24']
38,3,17:08:06,17:10:06,[],['44']
39,1,17:16:32,17:18:32,[],['83']
40,0,17:23:10,19:00:00,[],[]
