number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:56:09,[],[]
2,17,08:15:16,08:17:16,['52'],[]
3,6,08:20:08,08:22:08,[],['52']
4,18,08:25:00,08:27:00,"['1', '43']",[]
5,17,08:29:34,08:32:00,['14'],[]
6,6,08:34:52,08:36:52,"['48', '55']","['1', '14']"
7,3,08:44:35,08:46:35,[],['55']
8,0,08:57:30,08:59:29,[],"['48', '43']"
9,1,09:04:07,09:06:08,['16'],[]
10,2,09:07:25,09:09:25,['2'],[]
11,6,09:21:37,09:23:37,[],['16']
12,18,09:26:29,09:28:29,[],['2']
13,20,09:32:20,10:15:01,['19'],[]
14,18,10:18:52,10:20:52,['33'],[]
15,17,10:23:26,10:25:26,['59'],[]
16,6,10:28:18,10:30:18,[],"['33', '19', '59']"
17,5,10:32:52,10:52:00,['39'],[]
18,6,10:54:34,11:48:14,"['31', '20']",['39']
19,2,12:00:26,12:02:26,[],"['31', '20']"
20,1,12:03:43,12:23:20,['24'],[]
21,0,12:27:58,12:49:05,[],['24']
22,3,13:00:00,13:02:00,['50'],[]
23,4,13:05:51,13:07:51,['0'],[]
24,6,13:11:42,13:15:43,"['46', '32']","['0', '50']"
25,20,13:21:28,13:23:28,[],"['46', '32']"
26,3,13:34:58,13:37:00,['22'],[]
27,1,13:43:26,13:45:26,[],['22']
28,0,13:50:04,19:00:00,[],[]
