user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[0, 16]","[4, 6, 13]",22.3,13.7,17.22,2
1,"[10, 16]","[18, 6, 10]",15.8,15.82,17.23,2
2,[10],"[2, 18]",4.0,15.07,17.05,1
3,[10],"[5, 20]",2.0,7.27,9.27,1
4,"[10, 6]","[1, 0, 7]",23.0,14.43,18.43,2
5,[0],"[17, 20]",2.0,6.43,8.43,1
6,[6],"[16, 14]",2.0,5.3,7.3,1
7,-,-,-,-,21.12,1
8,"[0, 16]","[5, 6, 12]",22.9,13.02,16.93,2
9,[6],"[8, 15]",2.0,9.08,11.08,1
10,"[10, 6]","[2, 0, 11]",10.1,23.38,27.35,2
11,"[0, 16]","[4, 6, 8]",12.7,16.52,20.52,2
12,[16],"[16, 15]",2.0,2.87,4.87,1
13,[16],"[10, 8]",2.0,2.57,4.57,1
14,[10],"[17, 6]",2.0,2.87,4.87,1
15,-,-,-,-,5.85,1
16,"[10, 16]","[1, 6, 16]",6.0,15.3,19.23,2
17,[16],"[6, 12]",17.0,12.4,12.37,1
18,[6],"[12, 10]",2.0,5.45,7.45,1
19,"[10, 16]","[20, 6, 8]",12.0,27.25,22.42,2
20,"[16, 0]","[11, 6, 2]",23.3,26.05,27.35,2
21,[0],"[18, 6]",4.0,5.45,4.87,1
22,[0],"[3, 1]",2.0,6.43,8.43,1
23,[6],"[12, 9]",2.0,6.43,8.43,1
24,"[0, 6]","[1, 0, 11]",17.2,22.7,26.53,2
25,[10],"[2, 0]",4.0,5.92,7.45,1
26,"[16, 10]","[14, 6, 19]",4.0,9.8,13.78,2
27,-,-,-,-,18.22,2
28,"[10, 6]","[2, 0, 12]",12.1,27.23,26.57,2
29,[6],"[10, 0]",2.0,14.37,16.37,1
30,"[16, 10]","[7, 6, 1]",11.7,25.78,18.43,2
31,"[16, 0]","[11, 6, 2]",23.3,26.05,27.35,2
32,"[16, 0]","[8, 6, 20]",17.5,24.9,22.42,2
33,[10],"[18, 6]",4.0,5.45,4.87,1
34,"[16, 0]","[12, 6, 3]",8.7,18.08,22.08,2
35,[6],"[14, 7]",2.0,10.37,12.37,1
36,"[16, 0]","[8, 6, 3]",22.1,20.38,24.38,2
37,[10],"[5, 0]",4.0,15.25,17.0,1
38,[0],"[2, 1]",2.0,1.28,3.28,1
39,[10],"[5, 6]",2.0,2.57,4.57,1
40,"[6, 0]","[10, 6, 4]",23.0,14.22,18.22,2
41,[6],"[16, 0]",2.0,16.77,18.77,1
42,"[16, 10]","[8, 6, 19]",8.0,21.35,19.53,2
43,[10],"[18, 0]",10.4,24.22,22.12,1
44,"[0, 16]","[17, 6, 8]",14.9,15.68,19.53,2
45,"[0, 16]","[5, 6, 8]",4.0,15.23,19.23,2
46,"[16, 0]","[8, 6, 20]",17.5,24.9,22.42,2
47,[0],"[4, 18]",2.0,6.55,8.55,1
48,"[6, 10]","[12, 6, 0]",10.5,29.15,21.63,1
49,[0],"[1, 0]",2.0,4.63,6.63,1
50,"[0, 16]","[3, 6, 14]",15.7,14.98,18.63,2
51,[0],"[4, 3]",2.0,3.85,5.85,1
52,"[10, 6]","[17, 6, 15]",20.0,7.52,11.5,2
53,"[0, 16]","[3, 6, 10]",4.0,18.08,22.08,2
54,-,-,-,-,23.22,2
55,"[6, 10]","[10, 6, 3]",8.5,23.53,22.08,2
56,[16],"[7, 13]",17.2,13.65,13.85,1
57,[6],"[15, 8]",6.0,13.78,11.08,1
58,"[10, 6]","[2, 0, 8]",4.0,18.88,22.87,2
59,"[10, 16]","[17, 6, 16]",4.0,4.7,8.68,2
