number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:16:52,['6'],[]
2,11,08:29:36,08:31:36,[],['6']
3,14,08:38:31,08:40:31,['10'],[]
4,13,08:43:05,09:07:00,['26'],['10']
5,10,09:14:30,09:16:30,[],['26']
6,8,09:19:04,09:22:00,['27'],[]
7,9,09:23:17,09:25:56,['3'],[]
8,11,09:30:00,09:32:00,['30'],[]
9,13,09:38:26,09:40:26,[],['27']
10,14,09:43:00,09:48:27,['18'],[]
11,6,09:55:22,09:57:45,"['38', '11']","['30', '18', '3']"
12,14,10:04:40,10:06:40,[],['11']
13,13,10:09:14,10:11:14,[],['38']
14,12,10:13:48,10:50:57,"['29', '24']",[]
15,6,11:01:19,11:03:19,"['32', '22']","['29', '24']"
16,16,11:05:08,11:07:08,['36'],['32']
17,15,11:10:00,11:12:00,['20'],[]
18,14,11:14:34,11:18:44,[],['22']
19,12,11:22:22,11:24:22,[],['20']
20,7,11:34:25,11:36:25,[],['36']
21,6,11:48:04,19:00:00,[],[]
