number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:37:30,[],[]
2,23,08:45:00,08:47:00,['38'],[]
3,27,08:56:00,09:00:16,['95'],[]
4,28,09:03:54,09:34:19,['60'],"['95', '38']"
5,25,09:41:14,09:43:14,['63'],[]
6,22,09:49:40,09:51:40,[],['60']
7,0,09:58:06,10:00:06,[],['63']
8,28,10:19:13,10:41:51,['54'],[]
9,0,11:00:58,11:02:58,[],['54']
10,21,11:07:36,11:39:37,['41'],[]
11,22,11:42:11,11:54:58,['15'],[]
12,26,12:03:58,12:05:58,[],['41']
13,28,12:10:36,12:17:00,['12'],['15']
14,27,12:20:38,12:22:38,[],['12']
15,28,12:26:16,12:57:00,['26'],[]
16,0,13:16:07,13:27:30,['19'],['26']
17,23,13:35:00,13:37:00,[],['19']
18,0,13:44:30,13:49:45,['69'],[]
19,22,13:56:11,13:58:11,[],['69']
20,24,14:02:02,14:22:00,['61'],[]
21,28,14:31:22,14:33:22,['3'],['61']
22,21,14:49:00,14:51:00,[],['3']
23,0,14:55:38,15:27:00,['4'],[]
24,26,15:41:40,15:43:40,[],['4']
25,25,15:46:14,15:48:14,['50'],[]
26,0,16:00:26,16:02:26,[],['50']
27,24,16:12:14,16:14:14,['1'],[]
28,22,16:18:05,16:20:05,[],['1']
29,0,16:26:31,16:42:59,['52'],[]
30,21,16:47:37,16:49:37,[],['52']
31,0,16:54:15,19:00:00,[],[]
