user ID,used buses,used transfer points,waiting time,ride time,shortest time possible,number of transfers(for shortest)
0,"[6, 0]","[15, 6, 3]",20.4,12.35,16.35,2
1,[6],"[15, 14]",2.0,2.57,4.57,1
2,[16],"[9, 13]",2.0,8.62,10.62,1
3,"[17, 16]","[26, 0, 12]",4.0,34.28,35.37,3
4,"[6, 10, 7]","[11, 6, 0, 24]",14.5,40.17,31.7,2
5,"[7, 8, 10, 16]","[27, 28, 17, 6, 16]",15.0,21.18,25.82,3
6,"[10, 18]","[2, 6, 31]",19.6,24.33,28.05,2
7,[6],"[13, 11]",2.0,6.43,8.43,1
8,"[6, 10, 17]","[15, 6, 0, 24]",8.0,32.95,31.1,2
9,"[18, 0]","[17, 6, 2]",8.6,16.05,16.37,1
10,"[6, 0]","[11, 6, 20]",22.6,18.48,22.48,2
11,"[16, 8]","[10, 6, 29]",4.0,16.12,20.12,2
12,[16],"[10, 0]",2.0,14.37,16.37,1
13,"[10, 7]","[4, 0, 24]",13.2,23.7,27.7,2
14,"[10, 8]","[5, 6, 30]",4.0,10.4,14.38,2
15,[0],"[0, 6]",2.0,17.25,19.25,1
16,"[7, 16]","[21, 0, 14]",14.7,35.05,27.75,2
17,"[0, 16, 7]","[20, 6, 0, 21]",12.7,41.02,30.75,2
18,[6],"[0, 8]",2.0,13.42,15.42,1
19,"[10, 6]","[2, 6, 13]",24.7,21.83,25.57,2
20,"[10, 7]","[2, 0, 23]",23.0,12.95,16.95,2
21,[6],"[13, 11]",2.0,6.43,8.43,1
22,"[17, 8, 16]","[27, 28, 6, 11]",30.0,30.73,36.73,3
23,[7],"[24, 21]",2.0,6.43,8.43,1
24,"[8, 10]","[28, 17, 18]",24.0,15.43,19.42,2
25,[0],"[5, 1]",4.0,11.57,12.98,1
26,"[7, 6]","[21, 0, 15]",10.2,26.32,25.93,2
27,[0],"[4, 6]",2.0,3.85,5.85,1
28,[17],"[25, 21]",2.0,9.0,11.0,1
29,"[8, 0]","[29, 6, 4]",4.0,9.6,13.6,2
30,[7],"[26, 0]",4.0,14.77,16.67,1
31,"[6, 18]","[9, 6, 31]",11.6,28.65,27.35,2
32,[7],"[26, 25]",2.0,2.57,4.57,1
33,"[18, 16]","[31, 6, 8]",8.6,24.63,28.52,2
34,[7],"[23, 26]",2.0,7.72,9.72,1
35,[16],"[8, 6]",4.0,12.93,14.67,1
36,"[0, 8, 17]","[4, 6, 28, 27]",8.0,22.25,27.85,3
37,"[8, 17]","[29, 28, 25]",6.0,16.5,19.92,2
38,[0],"[2, 19]",6.0,15.23,16.37,1
39,"[8, 10]","[28, 6, 19]",12.5,17.25,20.92,2
40,"[10, 16]","[19, 6, 8]",24.0,15.53,19.53,2
41,"[0, 6]","[20, 6, 16]",20.0,7.57,11.57,2
42,"[18, 16]","[31, 6, 9]",6.6,23.35,27.35,2
43,"[16, 7]","[9, 0, 23]",23.5,21.35,25.35,2
44,"[18, 7]","[29, 28, 24]",23.6,18.78,22.37,2
45,[7],"[0, 21]",2.0,4.63,6.63,1
46,[7],"[21, 24]",2.0,6.43,8.43,1
47,"[10, 8]","[5, 6, 29]",4.0,8.32,12.32,2
48,"[16, 10, 8]","[10, 6, 17, 30]",19.7,19.8,22.18,2
49,"[10, 16]","[3, 6, 13]",4.0,17.07,21.08,2
50,"[16, 17]","[6, 0, 22]",8.9,36.03,27.68,2
51,[0],"[4, 2]",2.0,8.62,10.62,1
52,"[6, 18, 17]","[8, 6, 28, 26]",17.9,37.13,32.08,2
53,"[10, 18]","[19, 6, 31]",5.0,14.73,18.35,2
54,"[6, 10]","[13, 6, 18]",8.7,12.23,16.23,2
55,"[6, 10, 17]","[14, 6, 0, 21]",8.0,29.1,27.75,2
56,[10],"[2, 4]",2.0,8.62,10.62,1
57,"[8, 6]","[30, 6, 9]",11.6,26.08,23.32,2
58,[6],"[0, 14]",2.0,19.12,21.12,1
59,[7],"[0, 24]",2.0,9.8,11.8,1
60,"[10, 16]","[5, 6, 8]",22.9,15.35,19.23,2
61,"[0, 8]","[5, 6, 29]",19.3,8.32,12.32,2
62,[7],"[28, 26]",2.0,4.63,6.63,1
63,"[18, 0]","[31, 6, 3]",25.0,19.57,23.57,2
64,[16],"[14, 10]",2.0,6.55,8.55,1
65,"[0, 8]","[20, 6, 29]",12.5,11.5,14.28,2
66,"[17, 0, 8]","[21, 0, 6, 30]",6.0,29.7,26.18,2
67,"[16, 10]","[11, 6, 5]",21.9,16.42,19.3,2
68,"[16, 17]","[6, 0, 23]",10.9,37.32,28.75,2
69,[17],"[0, 24]",2.0,9.8,11.8,1
70,"[16, 10]","[13, 6, 19]",22.0,12.23,16.23,2
71,"[10, 17]","[20, 0, 21]",8.0,28.03,30.75,2
72,"[0, 17]","[1, 0, 23]",21.8,12.35,16.13,2
73,"[7, 8]","[25, 28, 31]",13.2,10.07,13.48,2
74,[7],"[0, 28]",4.0,19.15,21.12,1
75,"[6, 10]","[11, 6, 2]",10.5,24.93,27.35,2
76,"[17, 0, 8]","[22, 0, 6, 30]",12.4,32.28,23.67,2
77,"[7, 8]","[24, 28, 29]",17.6,19.07,22.37,2
78,"[17, 0]","[28, 0, 1]",24.6,25.2,27.75,2
79,"[6, 10]","[16, 6, 3]",21.0,9.53,13.53,2
