number,stop ID,arrival time,departure time,pick up users,drop of users
1,6,07:00:00,08:04:44,[],[]
2,31,08:16:35,08:18:35,['27'],[]
3,6,08:30:26,09:56:16,['48'],['27']
4,28,10:10:38,11:35:46,"['52', '57']",['48']
5,30,11:42:19,11:44:19,[],['57']
6,31,11:48:23,11:50:23,['20'],[]
7,6,12:02:14,12:37:53,"['21', '3']","['20', '52']"
8,30,12:45:42,12:47:42,[],"['21', '3']"
9,31,12:51:46,13:17:22,['0'],[]
10,28,13:19:56,13:40:53,['42'],['0']
11,29,13:49:53,14:04:58,['39'],[]
12,6,14:10:43,19:00:00,[],"['42', '39']"
