number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:37:00,['13'],[]
2,23,08:44:30,08:46:30,[],['13']
3,26,08:54:13,09:07:00,"['23', '27', '33']",[]
4,28,09:11:38,09:13:38,['22'],"['23', '27', '33']"
5,26,09:18:16,09:20:16,[],['22']
6,28,09:24:54,10:11:09,['34'],[]
7,26,10:15:47,10:32:00,['10'],[]
8,23,10:39:43,10:42:00,['4'],['34']
9,0,10:49:30,11:09:21,"['5', '2']","['4', '10']"
10,24,11:19:09,11:22:17,[],['2']
11,25,11:24:51,11:35:15,[],['5']
12,0,11:47:27,19:00:00,[],[]
