number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:01:09,[],[]
2,3,08:10:28,08:12:28,['37'],[]
3,9,08:20:05,08:32:00,['26'],['37']
4,11,08:35:28,08:37:28,[],['26']
5,10,08:39:25,10:07:00,['58'],[]
6,12,10:13:55,10:15:55,[],['58']
7,13,10:18:41,10:27:00,['3'],[]
8,8,10:39:32,10:42:00,['53'],[]
9,7,10:52:57,10:55:01,['28'],['3']
10,0,10:58:29,11:01:30,['1'],"['28', '53']"
11,12,11:25:00,11:27:00,['60'],['1']
12,11,11:32:43,11:42:00,['22'],[]
13,3,11:53:05,11:55:05,[],"['22', '60']"
14,13,12:11:45,12:13:45,['23'],[]
15,10,12:21:12,12:32:00,['49'],[]
16,3,12:41:47,12:55:23,"['8', '66', '56']","['49', '23']"
17,8,12:59:32,13:01:32,[],['8']
18,9,13:05:00,13:07:00,['33'],['66']
19,11,13:10:28,13:12:28,[],['33']
20,13,13:18:11,13:39:38,"['20', '51']",['56']
21,3,13:56:18,13:58:18,[],"['20', '51']"
22,13,14:14:58,14:27:00,['30'],[]
23,12,14:29:46,14:31:46,['40'],[]
24,8,14:44:18,14:46:18,[],['40']
25,3,14:50:27,15:14:09,"['21', '54']",['30']
26,9,15:21:46,15:23:46,[],['54']
27,12,15:32:52,15:34:52,[],['21']
28,10,15:41:47,16:07:00,['39'],[]
29,9,16:09:30,16:12:00,['52'],[]
30,8,16:15:28,16:17:28,[],['52']
31,0,16:29:57,16:31:57,[],['39']
32,7,16:35:25,16:52:02,['17'],[]
33,0,16:55:30,16:57:30,[],['17']
34,0,16:57:30,19:00:00,[],[]
