number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:42:00,"['64', '45']",[]
2,7,08:45:28,08:47:28,[],['45']
3,3,08:54:36,09:00:23,"['82', '2']",['64']
4,8,09:04:32,09:06:32,[],['2']
5,9,09:10:00,09:12:00,['59'],[]
6,10,09:14:30,09:20:14,[],['82']
7,11,09:22:11,09:47:00,['98'],['59']
8,9,09:50:28,09:52:28,['4'],['98']
9,10,09:54:58,09:56:58,['28'],['4']
10,11,09:58:55,10:05:57,[],['28']
11,13,10:11:40,10:37:00,['84'],[]
12,12,10:39:46,10:42:00,['31'],[]
13,8,10:54:32,10:56:32,['78'],['31']
14,3,11:00:41,11:06:43,"['14', '58']","['84', '78']"
15,8,11:10:52,11:12:52,[],['58']
16,9,11:16:20,11:18:20,[],['14']
17,13,11:27:26,11:29:26,['11'],[]
18,11,11:35:09,11:37:09,['20'],[]
19,10,11:39:06,11:42:02,['25'],['20']
20,9,11:44:32,11:46:32,[],['25']
21,11,11:50:00,11:52:00,['7'],[]
22,3,12:03:05,12:24:05,['49'],"['7', '11']"
23,0,12:33:24,12:45:19,['62'],['49']
24,7,12:48:47,12:50:47,['37'],[]
25,3,12:57:55,12:59:55,['35'],[]
26,8,13:04:04,13:12:00,['94'],['37']
27,9,13:15:28,13:17:28,[],['94']
28,10,13:19:58,13:21:58,['89'],[]
29,11,13:23:55,13:25:55,[],['35']
30,13,13:31:38,13:33:37,[],"['89', '62']"
31,10,13:41:04,13:45:41,['51'],[]
32,9,13:48:11,13:52:00,['56'],[]
33,8,13:55:28,13:58:19,['60'],[]
34,3,14:02:28,14:10:28,['24'],"['60', '51', '56']"
35,9,14:18:05,14:20:05,[],['24']
36,10,14:22:35,15:02:00,['66'],[]
37,11,15:03:57,15:05:57,['32'],[]
38,12,15:11:40,15:13:40,[],['66']
39,13,15:16:26,15:27:14,['54'],['32']
40,12,15:30:00,15:32:00,['1'],[]
41,10,15:38:55,15:40:55,[],['54']
42,9,15:43:25,15:52:00,['13'],[]
43,3,15:59:37,16:17:00,['0'],"['13', '1']"
44,11,16:28:05,16:30:05,[],['0']
45,9,16:33:33,16:35:33,['33'],[]
46,3,16:43:10,16:58:19,[],['33']
47,0,17:07:38,19:00:00,[],[]
