number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,08:38:05,[],[]
2,2,08:45:13,08:47:13,['15'],[]
3,3,08:50:41,08:52:41,[],['15']
4,4,08:56:09,09:52:39,['31'],[]
5,3,09:56:07,09:58:07,[],['31']
6,5,10:04:02,10:22:00,['5'],[]
7,4,10:27:43,10:37:00,['4'],[]
8,3,10:40:28,10:49:55,[],"['4', '5']"
9,5,10:55:50,11:07:00,['38'],[]
10,2,11:14:50,11:16:50,['6'],['38']
11,3,11:20:18,12:12:00,"['22', '33']",['6']
12,2,12:15:28,12:17:28,[],['22']
13,1,12:20:56,12:22:56,[],['33']
14,0,12:29:10,13:27:00,['14'],[]
15,3,13:36:19,13:51:34,['16'],[]
16,4,13:55:02,13:57:02,[],['14']
17,6,14:02:57,14:04:57,[],['16']
18,3,14:10:40,14:12:40,['19'],[]
19,1,14:19:35,14:21:35,[],['19']
20,0,14:27:49,19:00:00,[],[]
