number,stop ID,arrival time,departure time,pick up users,drop of users
1,0,07:00:00,07:52:52,[],[]
2,2,08:00:00,08:02:00,['5'],[]
3,3,08:05:28,08:07:28,['19'],['5']
4,4,08:10:56,08:12:56,['26'],[]
5,5,08:18:39,08:20:39,[],['19']
6,6,08:21:21,08:29:18,[],['26']
7,5,08:30:00,08:32:00,['17'],[]
8,3,08:37:55,08:49:00,"['48', '30']",['17']
9,1,08:55:55,09:11:55,[],"['48', '30']"
10,5,09:22:29,09:24:29,['34'],[]
11,3,09:30:24,09:32:24,['29'],[]
12,2,09:35:52,09:37:52,[],"['29', '34']"
13,0,09:45:00,09:47:00,"['35', '42']",[]
14,3,09:56:19,09:58:19,"['40', '59']","['35', '42']"
15,5,10:04:14,10:06:14,[],"['59', '40']"
16,4,10:11:57,10:27:44,['4'],[]
17,3,10:31:12,10:50:40,"['22', '21']",['4']
18,4,10:54:08,11:17:08,[],"['22', '21']"
19,0,11:29:15,19:00:00,[],[]
